Date,Open,High,Low,Close,Adj Close
29 Nov 2024,37.82,37.82,37.82,37.82,36.94
27 Nov 2024,37.71,37.71,37.71,37.71,36.83
26 Nov 2024,37.67,37.67,37.67,37.67,36.79
25 Nov 2024,37.82,37.82,37.82,37.82,36.94
22 Nov 2024,37.79,37.79,37.79,37.79,36.91
21 Nov 2024,37.81,37.81,37.81,37.81,36.93
20 Nov 2024,38.02,38.02,38.02,38.02,37.13
19 Nov 2024,38.03,38.03,38.03,38.03,37.14
18 Nov 2024,37.85,37.85,37.85,37.85,36.97
15 Nov 2024,37.57,37.57,37.57,37.57,36.69
14 Nov 2024,37.74,37.74,37.74,37.74,36.86
13 Nov 2024,37.95,37.95,37.95,37.95,37.07
12 Nov 2024,38.21,38.21,38.21,38.21,37.32
11 Nov 2024,38.89,38.89,38.89,38.89,37.98
8 Nov 2024,39.12,39.12,39.12,39.12,38.21
7 Nov 2024,39.79,39.79,39.79,39.79,38.86
6 Nov 2024,39.24,39.24,39.24,39.24,38.33
5 Nov 2024,39.45,39.45,39.45,39.45,38.53
4 Nov 2024,38.84,38.84,38.84,38.84,37.93
1 Nov 2024,38.78,38.78,38.78,38.78,37.88
31 Oct 2024,38.55,38.55,38.55,38.55,37.65
30 Oct 2024,38.77,38.77,38.77,38.77,37.87
29 Oct 2024,39.11,39.11,39.11,39.11,38.20
28 Oct 2024,39.21,39.21,39.21,39.21,38.30
25 Oct 2024,39.08,39.08,39.08,39.08,38.17
24 Oct 2024,39.09,39.09,39.09,39.09,38.18
23 Oct 2024,39.19,39.19,39.19,39.19,38.28
22 Oct 2024,39.41,39.41,39.41,39.41,38.49
21 Oct 2024,39.60,39.60,39.60,39.60,38.68
18 Oct 2024,39.75,39.75,39.75,39.75,38.82
17 Oct 2024,39.23,39.23,39.23,39.23,38.32
16 Oct 2024,39.45,39.45,39.45,39.45,38.53
15 Oct 2024,39.16,39.16,39.16,39.16,38.25
14 Oct 2024,39.94,39.94,39.94,39.94,39.01
11 Oct 2024,40.02,40.02,40.02,40.02,39.09
10 Oct 2024,39.84,39.84,39.84,39.84,38.91
9 Oct 2024,39.66,39.66,39.66,39.66,38.74
8 Oct 2024,40.01,40.01,40.01,40.01,39.08
7 Oct 2024,40.81,40.81,40.81,40.81,39.86
4 Oct 2024,40.73,40.73,40.73,40.73,39.78
3 Oct 2024,40.26,40.26,40.26,40.26,39.32
2 Oct 2024,40.68,40.68,40.68,40.68,39.73
1 Oct 2024,40.13,40.13,40.13,40.13,39.19
