Date,Open,High,Low,Close,Adj Close
29 Nov 2024,82.56,82.56,82.56,82.56,81.64
27 Nov 2024,81.71,81.71,81.71,81.71,80.80
26 Nov 2024,81.15,81.15,81.15,81.15,80.24
25 Nov 2024,81.61,81.61,81.61,81.61,80.70
22 Nov 2024,81.15,81.15,81.15,81.15,80.24
21 Nov 2024,80.79,80.79,80.79,80.79,79.89
20 Nov 2024,80.90,80.90,80.90,80.90,80.00
19 Nov 2024,81.13,81.13,81.13,81.13,80.22
18 Nov 2024,81.43,81.43,81.43,81.43,80.52
15 Nov 2024,80.99,80.99,80.99,80.99,80.09
14 Nov 2024,81.37,81.37,81.37,81.37,80.46
13 Nov 2024,81.10,81.10,81.10,81.10,80.19
12 Nov 2024,81.57,81.57,81.57,81.57,80.66
11 Nov 2024,83.28,83.28,83.28,83.28,82.35
8 Nov 2024,83.19,83.19,83.19,83.19,82.26
7 Nov 2024,84.39,84.39,84.39,84.39,83.45
6 Nov 2024,83.23,83.23,83.23,83.23,82.30
5 Nov 2024,84.97,84.97,84.97,84.97,84.02
4 Nov 2024,84.36,84.36,84.36,84.36,83.42
1 Nov 2024,84.26,84.26,84.26,84.26,83.32
31 Oct 2024,84.01,84.01,84.01,84.01,83.07
30 Oct 2024,84.64,84.64,84.64,84.64,83.69
29 Oct 2024,85.32,85.32,85.32,85.32,84.37
28 Oct 2024,85.99,85.99,85.99,85.99,85.03
25 Oct 2024,85.29,85.29,85.29,85.29,84.34
24 Oct 2024,85.58,85.58,85.58,85.58,84.62
23 Oct 2024,85.27,85.27,85.27,85.27,84.32
22 Oct 2024,85.78,85.78,85.78,85.78,84.82
21 Oct 2024,86.13,86.13,86.13,86.13,85.17
18 Oct 2024,87.04,87.04,87.04,87.04,86.07
17 Oct 2024,86.46,86.46,86.46,86.46,85.49
16 Oct 2024,86.19,86.19,86.19,86.19,85.23
15 Oct 2024,86.06,86.06,86.06,86.06,85.10
14 Oct 2024,87.43,87.43,87.43,87.43,86.45
11 Oct 2024,87.12,87.12,87.12,87.12,86.15
10 Oct 2024,86.65,86.65,86.65,86.65,85.68
9 Oct 2024,86.91,86.91,86.91,86.91,85.94
8 Oct 2024,86.60,86.60,86.60,86.60,85.63
7 Oct 2024,86.77,86.77,86.77,86.77,85.80
4 Oct 2024,87.12,87.12,87.12,87.12,86.15
3 Oct 2024,86.83,86.83,86.83,86.83,85.86
2 Oct 2024,87.74,87.74,87.74,87.74,86.76
1 Oct 2024,88.00,88.00,88.00,88.00,87.02
30 Sept 2024,88.92,88.92,88.92,88.92,87.93
27 Sept 2024,89.68,89.68,89.68,89.68,88.68
26 Sept 2024,89.75,89.75,89.75,89.75,88.75
25 Sept 2024,87.96,87.96,87.96,87.96,86.98
24 Sept 2024,88.46,88.46,88.46,88.46,87.47
23 Sept 2024,87.58,87.58,87.58,87.58,86.60
20 Sept 2024,87.49,87.49,87.49,87.49,86.51
19 Sept 2024,88.96,88.96,88.96,88.96,87.76
18 Sept 2024,87.27,87.27,87.27,87.27,86.09
17 Sept 2024,87.55,87.55,87.55,87.55,86.37
16 Sept 2024,87.79,87.79,87.79,87.79,86.61
13 Sept 2024,87.22,87.22,87.22,87.22,86.04
12 Sept 2024,86.76,86.76,86.76,86.76,85.59
11 Sept 2024,85.94,85.94,85.94,85.94,84.78
10 Sept 2024,85.65,85.65,85.65,85.65,84.49
9 Sept 2024,86.04,86.04,86.04,86.04,84.88
6 Sept 2024,85.57,85.57,85.57,85.57,84.42
5 Sept 2024,86.70,86.70,86.70,86.70,85.53
4 Sept 2024,86.91,86.91,86.91,86.91,85.74
3 Sept 2024,87.25,87.25,87.25,87.25,86.07
30 Aug 2024,88.81,88.81,88.81,88.81,87.61
29 Aug 2024,88.62,88.62,88.62,88.62,87.42
28 Aug 2024,88.22,88.22,88.22,88.22,87.03
27 Aug 2024,88.66,88.66,88.66,88.66,87.46
26 Aug 2024,88.24,88.24,88.24,88.24,87.05
23 Aug 2024,88.53,88.53,88.53,88.53,87.34
22 Aug 2024,87.21,87.21,87.21,87.21,86.03
21 Aug 2024,87.57,87.57,87.57,87.57,86.39
20 Aug 2024,86.90,86.90,86.90,86.90,85.73
