Date,Open,High,Low,Close,Adj Close
29 Nov 2024,43.40,43.40,43.40,43.40,39.13
27 Nov 2024,43.30,43.30,43.30,43.30,39.04
26 Nov 2024,43.44,43.44,43.44,43.44,39.16
25 Nov 2024,43.52,43.52,43.52,43.52,39.23
22 Nov 2024,42.92,42.92,42.92,42.92,38.69
21 Nov 2024,42.33,42.33,42.33,42.33,38.16
20 Nov 2024,41.73,41.73,41.73,41.73,37.62
19 Nov 2024,41.57,41.57,41.57,41.57,37.48
18 Nov 2024,41.51,41.51,41.51,41.51,37.42
15 Nov 2024,41.41,41.41,41.41,41.41,37.33
14 Nov 2024,41.84,41.84,41.84,41.84,37.72
13 Nov 2024,42.26,42.26,42.26,42.26,38.10
12 Nov 2024,42.38,42.38,42.38,42.38,38.21
11 Nov 2024,42.78,42.78,42.78,42.78,38.57
8 Nov 2024,42.36,42.36,42.36,42.36,38.19
7 Nov 2024,42.08,42.08,42.08,42.08,37.94
6 Nov 2024,42.08,42.08,42.08,42.08,37.94
5 Nov 2024,40.40,40.40,40.40,40.40,36.42
4 Nov 2024,39.74,39.74,39.74,39.74,35.83
1 Nov 2024,39.65,39.65,39.65,39.65,35.74
31 Oct 2024,39.61,39.61,39.61,39.61,35.71
30 Oct 2024,40.22,40.22,40.22,40.22,36.26
29 Oct 2024,40.21,40.21,40.21,40.21,36.25
28 Oct 2024,40.17,40.17,40.17,40.17,36.21
25 Oct 2024,39.75,39.75,39.75,39.75,35.84
24 Oct 2024,40.01,40.01,40.01,40.01,36.07
23 Oct 2024,39.94,39.94,39.94,39.94,36.01
22 Oct 2024,40.16,40.16,40.16,40.16,36.20
21 Oct 2024,40.45,40.45,40.45,40.45,36.47
18 Oct 2024,40.97,40.97,40.97,40.97,36.93
17 Oct 2024,40.92,40.92,40.92,40.92,36.89
16 Oct 2024,40.94,40.94,40.94,40.94,36.91
15 Oct 2024,40.60,40.60,40.60,40.60,36.60
14 Oct 2024,40.62,40.62,40.62,40.62,36.62
11 Oct 2024,40.35,40.35,40.35,40.35,36.38
10 Oct 2024,39.79,39.79,39.79,39.79,35.87
9 Oct 2024,39.96,39.96,39.96,39.96,36.02
8 Oct 2024,39.69,39.69,39.69,39.69,35.78
7 Oct 2024,39.59,39.59,39.59,39.59,35.69
4 Oct 2024,39.88,39.88,39.88,39.88,35.95
3 Oct 2024,39.39,39.39,39.39,39.39,35.51
2 Oct 2024,39.63,39.63,39.63,39.63,35.73
1 Oct 2024,39.65,39.65,39.65,39.65,35.74
30 Sept 2024,40.05,40.05,40.05,40.05,36.11
27 Sept 2024,39.94,39.94,39.94,39.94,36.01
26 Sept 2024,39.79,39.79,39.79,39.79,35.87
25 Sept 2024,39.48,39.48,39.48,39.48,35.59
24 Sept 2024,39.82,39.82,39.82,39.82,35.90
23 Sept 2024,39.77,39.77,39.77,39.77,35.85
20 Sept 2024,39.64,39.64,39.64,39.64,35.74
19 Sept 2024,39.87,39.87,39.87,39.87,35.94
18 Sept 2024,39.15,39.15,39.15,39.15,35.29
17 Sept 2024,39.10,39.10,39.10,39.10,35.25
16 Sept 2024,38.88,38.88,38.88,38.88,35.05
13 Sept 2024,38.58,38.58,38.58,38.58,34.78
12 Sept 2024,37.89,37.89,37.89,37.89,34.16
11 Sept 2024,37.51,37.51,37.51,37.51,33.82
10 Sept 2024,37.35,37.35,37.35,37.35,33.67
9 Sept 2024,37.44,37.44,37.44,37.44,33.75
6 Sept 2024,37.24,37.24,37.24,37.24,33.57
5 Sept 2024,37.89,37.89,37.89,37.89,34.16
4 Sept 2024,38.13,38.13,38.13,38.13,34.37
3 Sept 2024,38.24,38.24,38.24,38.24,34.47
30 Aug 2024,39.15,39.15,39.15,39.15,35.29
29 Aug 2024,38.88,38.88,38.88,38.88,35.05
28 Aug 2024,38.66,38.66,38.66,38.66,34.85
27 Aug 2024,38.83,38.83,38.83,38.83,35.01
26 Aug 2024,38.93,38.93,38.93,38.93,35.10
23 Aug 2024,39.02,39.02,39.02,39.02,35.18
22 Aug 2024,38.07,38.07,38.07,38.07,34.32
21 Aug 2024,38.24,38.24,38.24,38.24,34.47
20 Aug 2024,37.78,37.78,37.78,37.78,34.06
19 Aug 2024,38.10,38.10,38.10,38.10,34.35
16 Aug 2024,37.73,37.73,37.73,37.73,34.01
15 Aug 2024,37.67,37.67,37.67,37.67,33.96
14 Aug 2024,36.93,36.93,36.93,36.93,33.29
13 Aug 2024,36.94,36.94,36.94,36.94,33.30
12 Aug 2024,36.35,36.35,36.35,36.35,32.77
9 Aug 2024,36.63,36.63,36.63,36.63,33.02
8 Aug 2024,36.55,36.55,36.55,36.55,32.95
7 Aug 2024,35.75,35.75,35.75,35.75,32.23
6 Aug 2024,36.22,36.22,36.22,36.22,32.65
5 Aug 2024,35.86,35.86,35.86,35.86,32.33
2 Aug 2024,36.97,36.97,36.97,36.97,33.33
1 Aug 2024,38.05,38.05,38.05,38.05,34.30
31 Jul 2024,38.98,38.98,38.98,38.98,35.14
30 Jul 2024,38.77,38.77,38.77,38.77,34.95
29 Jul 2024,38.62,38.62,38.62,38.62,34.82
26 Jul 2024,38.63,38.63,38.63,38.63,34.83
25 Jul 2024,37.97,37.97,37.97,37.97,34.23
24 Jul 2024,37.65,37.65,37.65,37.65,33.94
23 Jul 2024,38.39,38.39,38.39,38.39,34.61
22 Jul 2024,38.25,38.25,38.25,38.25,34.48
19 Jul 2024,37.78,37.78,37.78,37.78,34.06
18 Jul 2024,37.95,37.95,37.95,37.95,34.21
17 Jul 2024,38.38,38.38,38.38,38.38,34.60
16 Jul 2024,38.78,38.78,38.78,38.78,34.96
15 Jul 2024,37.73,37.73,37.73,37.73,34.01
12 Jul 2024,37.43,37.43,37.43,37.43,33.74
11 Jul 2024,37.09,37.09,37.09,37.09,33.44
10 Jul 2024,36.25,36.25,36.25,36.25,32.68
9 Jul 2024,35.92,35.92,35.92,35.92,32.38
8 Jul 2024,36.02,36.02,36.02,36.02,32.47
5 Jul 2024,35.87,35.87,35.87,35.87,32.34
3 Jul 2024,36.15,36.15,36.15,36.15,32.59
2 Jul 2024,36.14,36.14,36.14,36.14,32.58
1 Jul 2024,36.08,36.08,36.08,36.08,32.53
28 Jun 2024,36.36,36.36,36.36,36.36,32.78
27 Jun 2024,36.17,36.17,36.17,36.17,32.61
26 Jun 2024,36.08,36.08,36.08,36.08,32.53
25 Jun 2024,36.19,36.19,36.19,36.19,32.63
24 Jun 2024,36.43,36.43,36.43,36.43,32.84
21 Jun 2024,36.24,36.24,36.24,36.24,32.67
20 Jun 2024,36.10,36.10,36.10,36.10,32.54
18 Jun 2024,36.18,36.18,36.18,36.18,32.62
17 Jun 2024,36.14,36.14,36.14,36.14,32.58
14 Jun 2024,35.87,35.87,35.87,35.87,32.34
13 Jun 2024,36.36,36.36,36.36,36.36,32.78
12 Jun 2024,36.61,36.61,36.61,36.61,33.00
11 Jun 2024,36.13,36.13,36.13,36.13,32.57
10 Jun 2024,36.34,36.34,36.34,36.34,32.76
7 Jun 2024,36.22,36.22,36.22,36.22,32.65
6 Jun 2024,36.46,36.46,36.46,36.46,32.87
5 Jun 2024,36.59,36.59,36.59,36.59,32.99
4 Jun 2024,36.18,36.18,36.18,36.18,32.62
3 Jun 2024,36.61,36.61,36.61,36.61,33.00
31 May 2024,36.79,36.79,36.79,36.79,33.17
30 May 2024,36.36,36.36,36.36,36.36,32.78
29 May 2024,36.13,36.13,36.13,36.13,32.57
28 May 2024,36.47,36.47,36.47,36.47,32.88
24 May 2024,36.69,36.69,36.69,36.69,33.08
23 May 2024,36.38,36.38,36.38,36.38,32.80
22 May 2024,36.85,36.85,36.85,36.85,33.22
21 May 2024,37.08,37.08,37.08,37.08,33.43
20 May 2024,37.20,37.20,37.20,37.20,33.54
17 May 2024,37.14,37.14,37.14,37.14,33.48
16 May 2024,37.09,37.09,37.09,37.09,33.44
15 May 2024,37.37,37.37,37.37,37.37,33.69
14 May 2024,36.98,36.98,36.98,36.98,33.34
13 May 2024,36.70,36.70,36.70,36.70,33.09
10 May 2024,36.67,36.67,36.67,36.67,33.06
9 May 2024,36.74,36.74,36.74,36.74,33.12
8 May 2024,36.45,36.45,36.45,36.45,32.86
7 May 2024,36.52,36.52,36.52,36.52,32.92
6 May 2024,36.54,36.54,36.54,36.54,32.94
3 May 2024,36.10,36.10,36.10,36.10,32.54
2 May 2024,35.86,35.86,35.86,35.86,32.33
1 May 2024,35.53,35.53,35.53,35.53,32.03
30 Apr 2024,35.41,35.41,35.41,35.41,31.92
29 Apr 2024,36.05,36.05,36.05,36.05,32.50
26 Apr 2024,35.75,35.75,35.75,35.75,32.23
25 Apr 2024,35.55,35.55,35.55,35.55,32.05
24 Apr 2024,35.73,35.73,35.73,35.73,32.21
23 Apr 2024,35.79,35.79,35.79,35.79,32.27
22 Apr 2024,35.26,35.26,35.26,35.26,31.79
19 Apr 2024,34.88,34.88,34.88,34.88,31.44
18 Apr 2024,34.84,34.84,34.84,34.84,31.41
17 Apr 2024,34.91,34.91,34.91,34.91,31.47
16 Apr 2024,35.13,35.13,35.13,35.13,31.67
15 Apr 2024,35.33,35.33,35.33,35.33,31.85
12 Apr 2024,35.79,35.79,35.79,35.79,32.27
11 Apr 2024,36.39,36.39,36.39,36.39,32.81
10 Apr 2024,36.38,36.38,36.38,36.38,32.80
9 Apr 2024,37.14,37.14,37.14,37.14,33.48
8 Apr 2024,37.14,37.14,37.14,37.14,33.48
5 Apr 2024,37.00,37.00,37.00,37.00,33.36
4 Apr 2024,36.72,36.72,36.72,36.72,33.10
3 Apr 2024,37.15,37.15,37.15,37.15,33.49
2 Apr 2024,36.97,36.97,36.97,36.97,33.33
1 Apr 2024,37.44,37.44,37.44,37.44,33.75
28 Mar 2024,37.67,37.67,37.67,37.67,33.96
27 Mar 2024,37.49,37.49,37.49,37.49,33.80
26 Mar 2024,36.90,36.90,36.90,36.90,33.27
25 Mar 2024,36.99,36.99,36.99,36.99,33.35
22 Mar 2024,36.99,36.99,36.99,36.99,33.35
21 Mar 2024,37.27,37.27,37.27,37.27,33.60
20 Mar 2024,36.87,36.87,36.87,36.87,33.24
