Date,Open,High,Low,Close,Adj Close
29 Nov 2024,41.71,41.71,41.71,41.71,38.49
27 Nov 2024,41.45,41.45,41.45,41.45,38.25
26 Nov 2024,41.28,41.28,41.28,41.28,38.10
25 Nov 2024,41.48,41.48,41.48,41.48,38.28
22 Nov 2024,41.28,41.28,41.28,41.28,38.10
21 Nov 2024,41.26,41.26,41.26,41.26,38.08
20 Nov 2024,41.39,41.39,41.39,41.39,38.20
19 Nov 2024,41.51,41.51,41.51,41.51,38.31
18 Nov 2024,41.56,41.56,41.56,41.56,38.35
15 Nov 2024,41.30,41.30,41.30,41.30,38.12
14 Nov 2024,41.43,41.43,41.43,41.43,38.24
13 Nov 2024,41.45,41.45,41.45,41.45,38.25
12 Nov 2024,41.74,41.74,41.74,41.74,38.52
11 Nov 2024,42.57,42.57,42.57,42.57,39.29
8 Nov 2024,42.67,42.67,42.67,42.67,39.38
7 Nov 2024,43.46,43.46,43.46,43.46,40.11
6 Nov 2024,42.70,42.70,42.70,42.70,39.41
5 Nov 2024,43.20,43.20,43.20,43.20,39.87
4 Nov 2024,42.62,42.62,42.62,42.62,39.33
1 Nov 2024,42.53,42.53,42.53,42.53,39.25
31 Oct 2024,42.37,42.37,42.37,42.37,39.10
30 Oct 2024,42.78,42.78,42.78,42.78,39.48
29 Oct 2024,43.01,43.01,43.01,43.01,39.69
28 Oct 2024,43.24,43.24,43.24,43.24,39.91
25 Oct 2024,42.93,42.93,42.93,42.93,39.62
24 Oct 2024,42.98,42.98,42.98,42.98,39.67
23 Oct 2024,42.87,42.87,42.87,42.87,39.56
22 Oct 2024,43.23,43.23,43.23,43.23,39.90
21 Oct 2024,43.40,43.40,43.40,43.40,40.05
18 Oct 2024,43.86,43.86,43.86,43.86,40.48
17 Oct 2024,43.40,43.40,43.40,43.40,40.05
16 Oct 2024,43.58,43.58,43.58,43.58,40.22
15 Oct 2024,43.35,43.35,43.35,43.35,40.01
14 Oct 2024,44.21,44.21,44.21,44.21,40.80
11 Oct 2024,44.19,44.19,44.19,44.19,40.78
10 Oct 2024,44.06,44.06,44.06,44.06,40.66
9 Oct 2024,44.12,44.12,44.12,44.12,40.72
8 Oct 2024,44.17,44.17,44.17,44.17,40.76
7 Oct 2024,44.77,44.77,44.77,44.77,41.32
4 Oct 2024,44.87,44.87,44.87,44.87,41.41
3 Oct 2024,44.50,44.50,44.50,44.50,41.07
2 Oct 2024,45.02,45.02,45.02,45.02,41.55
1 Oct 2024,44.83,44.83,44.83,44.83,41.37
30 Sept 2024,44.92,44.92,44.92,44.92,41.46
27 Sept 2024,45.13,45.13,45.13,45.13,41.65
26 Sept 2024,45.18,45.18,45.18,45.18,41.70
25 Sept 2024,43.91,43.91,43.91,43.91,40.52
24 Sept 2024,44.14,44.14,44.14,44.14,40.74
23 Sept 2024,43.59,43.59,43.59,43.59,40.23
20 Sept 2024,43.41,43.41,43.41,43.41,40.06
19 Sept 2024,43.79,43.79,43.79,43.79,40.41
18 Sept 2024,42.95,42.95,42.95,42.95,39.64
17 Sept 2024,43.00,43.00,43.00,43.00,39.68
16 Sept 2024,43.01,43.01,43.01,43.01,39.69
13 Sept 2024,42.77,42.77,42.77,42.77,39.47
12 Sept 2024,42.66,42.66,42.66,42.66,39.37
11 Sept 2024,42.35,42.35,42.35,42.35,39.08
10 Sept 2024,42.20,42.20,42.20,42.20,38.95
9 Sept 2024,42.46,42.46,42.46,42.46,39.19
6 Sept 2024,42.17,42.17,42.17,42.17,38.92
5 Sept 2024,42.85,42.85,42.85,42.85,39.55
4 Sept 2024,42.72,42.72,42.72,42.72,39.43
3 Sept 2024,42.79,42.79,42.79,42.79,39.49
30 Aug 2024,43.58,43.58,43.58,43.58,40.22
29 Aug 2024,43.44,43.44,43.44,43.44,40.09
28 Aug 2024,43.32,43.32,43.32,43.32,39.98
27 Aug 2024,43.61,43.61,43.61,43.61,40.25
26 Aug 2024,43.44,43.44,43.44,43.44,40.09
