Date,Open,High,Low,Close,Adj Close
29 Nov 2024,26.85,26.85,26.85,26.85,26.07
27 Nov 2024,26.83,26.83,26.83,26.83,26.06
26 Nov 2024,26.78,26.78,26.78,26.78,26.01
25 Nov 2024,26.82,26.82,26.82,26.82,26.05
22 Nov 2024,26.61,26.61,26.61,26.61,25.84
21 Nov 2024,26.49,26.49,26.49,26.49,25.73
20 Nov 2024,26.14,26.14,26.14,26.14,25.39
19 Nov 2024,26.01,26.01,26.01,26.01,25.26
18 Nov 2024,26.28,26.28,26.28,26.28,25.52
15 Nov 2024,26.18,26.18,26.18,26.18,25.42
14 Nov 2024,26.10,26.10,26.10,26.10,25.35
13 Nov 2024,26.10,26.10,26.10,26.10,25.35
12 Nov 2024,26.24,26.24,26.24,26.24,25.48
11 Nov 2024,26.42,26.42,26.42,26.42,25.66
8 Nov 2024,26.08,26.08,26.08,26.08,25.33
7 Nov 2024,26.14,26.14,26.14,26.14,25.39
6 Nov 2024,26.13,26.13,26.13,26.13,25.38
5 Nov 2024,25.53,25.53,25.53,25.53,24.79
4 Nov 2024,25.33,25.33,25.33,25.33,24.60
1 Nov 2024,25.37,25.37,25.37,25.37,24.64
31 Oct 2024,25.42,25.42,25.42,25.42,24.69
30 Oct 2024,25.37,25.37,25.37,25.37,24.64
29 Oct 2024,25.34,25.34,25.34,25.34,24.61
28 Oct 2024,25.55,25.55,25.55,25.55,24.81
25 Oct 2024,25.44,25.44,25.44,25.44,24.71
24 Oct 2024,25.60,25.60,25.60,25.60,24.86
23 Oct 2024,25.61,25.61,25.61,25.61,24.87
22 Oct 2024,25.70,25.70,25.70,25.70,24.96
21 Oct 2024,25.66,25.66,25.66,25.66,24.92
18 Oct 2024,25.89,25.89,25.89,25.89,25.14
17 Oct 2024,25.97,25.97,25.97,25.97,25.22
16 Oct 2024,26.08,26.08,26.08,26.08,25.33
15 Oct 2024,25.78,25.78,25.78,25.78,25.04
14 Oct 2024,26.06,26.06,26.06,26.06,25.31
11 Oct 2024,25.87,25.87,25.87,25.87,25.12
10 Oct 2024,25.61,25.61,25.61,25.61,24.87
9 Oct 2024,25.65,25.65,25.65,25.65,24.91
8 Oct 2024,25.51,25.51,25.51,25.51,24.77
7 Oct 2024,25.57,25.57,25.57,25.57,24.83
4 Oct 2024,25.77,25.77,25.77,25.77,25.03
3 Oct 2024,25.61,25.61,25.61,25.61,24.87
2 Oct 2024,25.76,25.76,25.76,25.76,25.02
1 Oct 2024,25.78,25.78,25.78,25.78,25.04
30 Sept 2024,25.86,25.86,25.86,25.86,25.11
27 Sept 2024,25.86,25.86,25.86,25.86,25.11
26 Sept 2024,25.71,25.71,25.71,25.71,24.97
25 Sept 2024,25.60,25.60,25.60,25.60,24.86
24 Sept 2024,25.80,25.80,25.80,25.80,25.05
23 Sept 2024,25.80,25.80,25.80,25.80,25.05
20 Sept 2024,25.77,25.77,25.77,25.77,25.03
19 Sept 2024,25.87,25.87,25.87,25.87,25.12
18 Sept 2024,25.68,25.68,25.68,25.68,24.94
17 Sept 2024,25.69,25.69,25.69,25.69,24.95
16 Sept 2024,25.75,25.75,25.75,25.75,25.01
13 Sept 2024,25.54,25.54,25.54,25.54,24.80
12 Sept 2024,26.89,26.89,26.89,26.89,24.63
11 Sept 2024,26.82,26.82,26.82,26.82,24.57
10 Sept 2024,26.93,26.93,26.93,26.93,24.67
9 Sept 2024,27.15,27.15,27.15,27.15,24.87
6 Sept 2024,26.94,26.94,26.94,26.94,24.68
5 Sept 2024,27.22,27.22,27.22,27.22,24.93
4 Sept 2024,27.43,27.43,27.43,27.43,25.13
3 Sept 2024,27.46,27.46,27.46,27.46,25.15
30 Aug 2024,27.62,27.62,27.62,27.62,25.30
29 Aug 2024,27.47,27.47,27.47,27.47,25.16
28 Aug 2024,27.48,27.48,27.48,27.48,25.17
27 Aug 2024,27.48,27.48,27.48,27.48,25.17
26 Aug 2024,27.50,27.50,27.50,27.50,25.19
23 Aug 2024,27.38,27.38,27.38,27.38,25.08
22 Aug 2024,27.06,27.06,27.06,27.06,24.79
21 Aug 2024,27.10,27.10,27.10,27.10,24.82
20 Aug 2024,27.07,27.07,27.07,27.07,24.80
19 Aug 2024,27.20,27.20,27.20,27.20,24.92
16 Aug 2024,27.02,27.02,27.02,27.02,24.75
15 Aug 2024,26.74,26.74,26.74,26.74,24.50
14 Aug 2024,26.49,26.49,26.49,26.49,24.27
13 Aug 2024,26.33,26.33,26.33,26.33,24.12
12 Aug 2024,26.08,26.08,26.08,26.08,23.89
9 Aug 2024,26.16,26.16,26.16,26.16,23.96
8 Aug 2024,26.14,26.14,26.14,26.14,23.95
7 Aug 2024,25.73,25.73,25.73,25.73,23.57
6 Aug 2024,25.80,25.80,25.80,25.80,23.63
5 Aug 2024,25.62,25.62,25.62,25.62,23.47
2 Aug 2024,26.29,26.29,26.29,26.29,24.08
1 Aug 2024,26.58,26.58,26.58,26.58,24.35
31 Jul 2024,27.00,27.00,27.00,27.00,24.73
30 Jul 2024,26.97,26.97,26.97,26.97,24.71
29 Jul 2024,26.75,26.75,26.75,26.75,24.50
26 Jul 2024,26.74,26.74,26.74,26.74,24.50
25 Jul 2024,26.29,26.29,26.29,26.29,24.08
24 Jul 2024,26.17,26.17,26.17,26.17,23.97
23 Jul 2024,26.31,26.31,26.31,26.31,24.10
22 Jul 2024,26.50,26.50,26.50,26.50,24.28
19 Jul 2024,26.47,26.47,26.47,26.47,24.25
18 Jul 2024,26.68,26.68,26.68,26.68,24.44
17 Jul 2024,26.99,26.99,26.99,26.99,24.72
16 Jul 2024,26.75,26.75,26.75,26.75,24.50
15 Jul 2024,26.21,26.21,26.21,26.21,24.01
12 Jul 2024,26.18,26.18,26.18,26.18,23.98
11 Jul 2024,26.08,26.08,26.08,26.08,23.89
10 Jul 2024,25.83,25.83,25.83,25.83,23.66
9 Jul 2024,25.62,25.62,25.62,25.62,23.47
8 Jul 2024,25.65,25.65,25.65,25.65,23.50
5 Jul 2024,25.70,25.70,25.70,25.70,23.54
3 Jul 2024,25.83,25.83,25.83,25.83,23.66
2 Jul 2024,25.84,25.84,25.84,25.84,23.67
1 Jul 2024,25.71,25.71,25.71,25.71,23.55
28 Jun 2024,25.85,25.85,25.85,25.85,23.68
27 Jun 2024,25.77,25.77,25.77,25.77,23.61
26 Jun 2024,25.73,25.73,25.73,25.73,23.57
25 Jun 2024,25.77,25.77,25.77,25.77,23.61
24 Jun 2024,25.95,25.95,25.95,25.95,23.77
21 Jun 2024,25.66,25.66,25.66,25.66,23.51
20 Jun 2024,25.72,25.72,25.72,25.72,23.56
18 Jun 2024,25.52,25.52,25.52,25.52,23.38
17 Jun 2024,25.50,25.50,25.50,25.50,23.36
14 Jun 2024,25.45,25.45,25.45,25.45,23.31
13 Jun 2024,25.55,25.55,25.55,25.55,23.41
12 Jun 2024,25.61,25.61,25.61,25.61,23.46
11 Jun 2024,25.66,25.66,25.66,25.66,23.51
10 Jun 2024,25.90,25.90,25.90,25.90,23.73
7 Jun 2024,25.83,25.83,25.83,25.83,23.66
6 Jun 2024,25.98,25.98,25.98,25.98,23.80
5 Jun 2024,25.98,25.98,25.98,25.98,23.80
4 Jun 2024,25.98,25.98,25.98,25.98,23.80
3 Jun 2024,26.08,26.08,26.08,26.08,23.89
