Date,Open,High,Low,Close,Adj Close
29 Nov 2024,22.23,22.23,22.23,22.23,21.93
27 Nov 2024,22.21,22.21,22.21,22.21,21.91
26 Nov 2024,22.19,22.19,22.19,22.19,21.89
25 Nov 2024,22.30,22.30,22.30,22.30,22.00
22 Nov 2024,21.99,21.99,21.99,21.99,21.69
21 Nov 2024,21.67,21.67,21.67,21.67,21.37
20 Nov 2024,21.33,21.33,21.33,21.33,21.04
19 Nov 2024,21.32,21.32,21.32,21.32,21.03
18 Nov 2024,21.31,21.31,21.31,21.31,21.02
15 Nov 2024,21.18,21.18,21.18,21.18,20.89
14 Nov 2024,21.38,21.38,21.38,21.38,21.09
13 Nov 2024,21.69,21.69,21.69,21.69,21.39
12 Nov 2024,21.94,21.94,21.94,21.94,21.64
11 Nov 2024,22.24,22.24,22.24,22.24,21.94
8 Nov 2024,21.97,21.97,21.97,21.97,21.67
7 Nov 2024,21.95,21.95,21.95,21.95,21.65
6 Nov 2024,22.06,22.06,22.06,22.06,21.76
5 Nov 2024,20.77,20.77,20.77,20.77,20.49
4 Nov 2024,20.39,20.39,20.39,20.39,20.11
1 Nov 2024,20.41,20.41,20.41,20.41,20.13
31 Oct 2024,20.33,20.33,20.33,20.33,20.05
30 Oct 2024,20.66,20.66,20.66,20.66,20.38
29 Oct 2024,20.66,20.66,20.66,20.66,20.38
28 Oct 2024,20.77,20.77,20.77,20.77,20.49
25 Oct 2024,20.52,20.52,20.52,20.52,20.24
24 Oct 2024,20.63,20.63,20.63,20.63,20.35
23 Oct 2024,20.59,20.59,20.59,20.59,20.31
22 Oct 2024,20.73,20.73,20.73,20.73,20.45
21 Oct 2024,20.81,20.81,20.81,20.81,20.53
18 Oct 2024,21.18,21.18,21.18,21.18,20.89
17 Oct 2024,21.35,21.35,21.35,21.35,21.06
16 Oct 2024,21.30,21.30,21.30,21.30,21.01
15 Oct 2024,21.02,21.02,21.02,21.02,20.73
14 Oct 2024,21.05,21.05,21.05,21.05,20.76
11 Oct 2024,20.95,20.95,20.95,20.95,20.66
10 Oct 2024,20.58,20.58,20.58,20.58,20.30
9 Oct 2024,20.71,20.71,20.71,20.71,20.43
8 Oct 2024,20.57,20.57,20.57,20.57,20.29
7 Oct 2024,20.59,20.59,20.59,20.59,20.31
4 Oct 2024,20.72,20.72,20.72,20.72,20.44
3 Oct 2024,20.46,20.46,20.46,20.46,20.18
2 Oct 2024,20.46,20.46,20.46,20.46,20.18
1 Oct 2024,20.51,20.51,20.51,20.51,20.23
30 Sept 2024,20.78,20.78,20.78,20.78,20.50
27 Sept 2024,20.73,20.73,20.73,20.73,20.45
26 Sept 2024,20.63,20.63,20.63,20.63,20.35
25 Sept 2024,20.48,20.48,20.48,20.48,20.20
24 Sept 2024,20.77,20.77,20.77,20.77,20.49
23 Sept 2024,20.83,20.83,20.83,20.83,20.55
20 Sept 2024,20.85,20.85,20.85,20.85,20.57
19 Sept 2024,21.04,21.04,21.04,21.04,20.75
18 Sept 2024,20.72,20.72,20.72,20.72,20.44
17 Sept 2024,20.70,20.70,20.70,20.70,20.42
16 Sept 2024,20.59,20.59,20.59,20.59,20.31
13 Sept 2024,20.42,20.42,20.42,20.42,20.14
12 Sept 2024,20.92,20.92,20.92,20.92,19.68
11 Sept 2024,20.68,20.68,20.68,20.68,19.46
10 Sept 2024,20.67,20.67,20.67,20.67,19.45
9 Sept 2024,20.74,20.74,20.74,20.74,19.51
6 Sept 2024,20.70,20.70,20.70,20.70,19.47
5 Sept 2024,21.12,21.12,21.12,21.12,19.87
4 Sept 2024,21.25,21.25,21.25,21.25,19.99
3 Sept 2024,21.32,21.32,21.32,21.32,20.06
30 Aug 2024,21.92,21.92,21.92,21.92,20.62
29 Aug 2024,21.78,21.78,21.78,21.78,20.49
28 Aug 2024,21.69,21.69,21.69,21.69,20.41
27 Aug 2024,21.74,21.74,21.74,21.74,20.45
26 Aug 2024,21.87,21.87,21.87,21.87,20.57
23 Aug 2024,21.91,21.91,21.91,21.91,20.61
22 Aug 2024,21.25,21.25,21.25,21.25,19.99
