Date,Open,High,Low,Close,Adj Close
29 Nov 2024,16.02,16.02,16.02,16.02,15.43
27 Nov 2024,16.08,16.08,16.08,16.08,15.48
26 Nov 2024,16.15,16.15,16.15,16.15,15.55
25 Nov 2024,16.20,16.20,16.20,16.20,15.60
22 Nov 2024,16.11,16.11,16.11,16.11,15.51
21 Nov 2024,16.12,16.12,16.12,16.12,15.52
20 Nov 2024,16.17,16.17,16.17,16.17,15.57
19 Nov 2024,16.17,16.17,16.17,16.17,15.57
18 Nov 2024,16.11,16.11,16.11,16.11,15.51
15 Nov 2024,16.06,16.06,16.06,16.06,15.47
14 Nov 2024,16.14,16.14,16.14,16.14,15.54
13 Nov 2024,16.28,16.28,16.28,16.28,15.68
12 Nov 2024,16.37,16.37,16.37,16.37,15.76
11 Nov 2024,16.64,16.64,16.64,16.64,16.02
8 Nov 2024,16.73,16.73,16.73,16.73,16.11
7 Nov 2024,16.96,16.96,16.96,16.96,16.33
6 Nov 2024,16.78,16.78,16.78,16.78,16.16
5 Nov 2024,16.86,16.86,16.86,16.86,16.24
4 Nov 2024,16.74,16.74,16.74,16.74,16.12
1 Nov 2024,16.55,16.55,16.55,16.55,15.94
31 Oct 2024,16.57,16.57,16.57,16.57,15.96
30 Oct 2024,16.70,16.70,16.70,16.70,16.08
29 Oct 2024,16.78,16.78,16.78,16.78,16.16
28 Oct 2024,16.86,16.86,16.86,16.86,16.24
25 Oct 2024,16.82,16.82,16.82,16.82,16.20
24 Oct 2024,16.89,16.89,16.89,16.89,16.26
23 Oct 2024,16.88,16.88,16.88,16.88,16.26
22 Oct 2024,17.00,17.00,17.00,17.00,16.37
21 Oct 2024,17.01,17.01,17.01,17.01,16.38
18 Oct 2024,17.06,17.06,17.06,17.06,16.43
17 Oct 2024,17.02,17.02,17.02,17.02,16.39
16 Oct 2024,17.10,17.10,17.10,17.10,16.47
15 Oct 2024,17.02,17.02,17.02,17.02,16.39
14 Oct 2024,17.32,17.32,17.32,17.32,16.68
11 Oct 2024,17.25,17.25,17.25,17.25,16.61
10 Oct 2024,17.23,17.23,17.23,17.23,16.59
9 Oct 2024,17.16,17.16,17.16,17.16,16.52
8 Oct 2024,17.30,17.30,17.30,17.30,16.66
7 Oct 2024,17.56,17.56,17.56,17.56,16.91
4 Oct 2024,17.57,17.57,17.57,17.57,16.92
3 Oct 2024,17.54,17.54,17.54,17.54,16.89
2 Oct 2024,17.74,17.74,17.74,17.74,17.08
1 Oct 2024,17.58,17.58,17.58,17.58,16.93
30 Sept 2024,17.63,17.63,17.63,17.63,16.98
27 Sept 2024,17.69,17.69,17.69,17.69,17.04
26 Sept 2024,17.54,17.54,17.54,17.54,16.89
25 Sept 2024,17.15,17.15,17.15,17.15,16.52
24 Sept 2024,17.20,17.20,17.20,17.20,16.56
23 Sept 2024,16.88,16.88,16.88,16.88,16.26
20 Sept 2024,16.77,16.77,16.77,16.77,16.15
19 Sept 2024,16.91,16.91,16.91,16.91,16.28
18 Sept 2024,16.67,16.67,16.67,16.67,16.05
17 Sept 2024,16.73,16.73,16.73,16.73,16.11
16 Sept 2024,16.69,16.69,16.69,16.69,16.07
13 Sept 2024,16.63,16.63,16.63,16.63,16.01
12 Sept 2024,16.52,16.52,16.52,16.52,15.91
11 Sept 2024,16.37,16.37,16.37,16.37,15.76
