Date,Open,High,Low,Close,Adj Close
29 Nov 2024,21.18,21.18,21.18,21.18,20.99
27 Nov 2024,21.09,21.09,21.09,21.09,20.90
26 Nov 2024,21.07,21.07,21.07,21.07,20.88
25 Nov 2024,21.01,21.01,21.01,21.01,20.82
22 Nov 2024,20.89,20.89,20.89,20.89,20.70
21 Nov 2024,20.75,20.75,20.75,20.75,20.56
20 Nov 2024,20.61,20.61,20.61,20.61,20.42
19 Nov 2024,20.62,20.62,20.62,20.62,20.43
18 Nov 2024,20.64,20.64,20.64,20.64,20.45
15 Nov 2024,20.53,20.53,20.53,20.53,20.34
14 Nov 2024,20.68,20.68,20.68,20.68,20.49
13 Nov 2024,20.71,20.71,20.71,20.71,20.52
12 Nov 2024,20.77,20.77,20.77,20.77,20.58
11 Nov 2024,20.93,20.93,20.93,20.93,20.74
8 Nov 2024,20.93,20.93,20.93,20.93,20.74
7 Nov 2024,20.94,20.94,20.94,20.94,20.75
6 Nov 2024,20.74,20.74,20.74,20.74,20.55
5 Nov 2024,20.50,20.50,20.50,20.50,20.31
4 Nov 2024,20.33,20.33,20.33,20.33,20.15
1 Nov 2024,20.36,20.36,20.36,20.36,20.17
31 Oct 2024,20.36,20.36,20.36,20.36,20.17
30 Oct 2024,20.63,20.63,20.63,20.63,20.44
29 Oct 2024,20.74,20.74,20.74,20.74,20.55
28 Oct 2024,20.80,20.80,20.80,20.80,20.61
25 Oct 2024,20.70,20.70,20.70,20.70,20.51
24 Oct 2024,20.79,20.79,20.79,20.79,20.60
23 Oct 2024,20.77,20.77,20.77,20.77,20.58
22 Oct 2024,20.87,20.87,20.87,20.87,20.68
21 Oct 2024,20.95,20.95,20.95,20.95,20.76
18 Oct 2024,21.10,21.10,21.10,21.10,20.91
17 Oct 2024,21.03,21.03,21.03,21.03,20.84
16 Oct 2024,20.98,20.98,20.98,20.98,20.79
15 Oct 2024,20.88,20.88,20.88,20.88,20.69
14 Oct 2024,21.00,21.00,21.00,21.00,20.81
11 Oct 2024,20.86,20.86,20.86,20.86,20.67
10 Oct 2024,20.71,20.71,20.71,20.71,20.52
9 Oct 2024,20.80,20.80,20.80,20.80,20.61
8 Oct 2024,20.70,20.70,20.70,20.70,20.51
7 Oct 2024,20.67,20.67,20.67,20.67,20.48
4 Oct 2024,20.85,20.85,20.85,20.85,20.66
3 Oct 2024,20.77,20.77,20.77,20.77,20.55
2 Oct 2024,20.89,20.89,20.89,20.89,20.66
1 Oct 2024,20.89,20.89,20.89,20.89,20.66
30 Sept 2024,20.98,20.98,20.98,20.98,20.75
27 Sept 2024,20.95,20.95,20.95,20.95,20.72
26 Sept 2024,21.01,21.01,21.01,21.01,20.78
25 Sept 2024,20.81,20.81,20.81,20.81,20.59
24 Sept 2024,20.87,20.87,20.87,20.87,20.64
23 Sept 2024,20.79,20.79,20.79,20.79,20.57
20 Sept 2024,20.73,20.73,20.73,20.73,20.51
19 Sept 2024,20.78,20.78,20.78,20.78,20.56
18 Sept 2024,20.46,20.46,20.46,20.46,20.24
17 Sept 2024,20.50,20.50,20.50,20.50,20.28
16 Sept 2024,20.58,20.58,20.58,20.58,20.36
13 Sept 2024,20.47,20.47,20.47,20.47,20.25
12 Sept 2024,20.36,20.36,20.36,20.36,20.14
11 Sept 2024,20.25,20.25,20.25,20.25,20.03
10 Sept 2024,20.18,20.18,20.18,20.18,19.96
9 Sept 2024,20.19,20.19,20.19,20.19,19.97
6 Sept 2024,20.00,20.00,20.00,20.00,19.78
5 Sept 2024,20.30,20.30,20.30,20.30,20.08
4 Sept 2024,20.38,20.38,20.38,20.38,20.16
3 Sept 2024,20.42,20.42,20.42,20.42,20.20
30 Aug 2024,20.77,20.77,20.77,20.77,20.55
29 Aug 2024,20.67,20.67,20.67,20.67,20.45
28 Aug 2024,20.60,20.60,20.60,20.60,20.38
27 Aug 2024,20.66,20.66,20.66,20.66,20.44
26 Aug 2024,20.63,20.63,20.63,20.63,20.41
23 Aug 2024,20.63,20.63,20.63,20.63,20.41
22 Aug 2024,20.39,20.39,20.39,20.39,20.17
21 Aug 2024,20.48,20.48,20.48,20.48,20.26
20 Aug 2024,20.38,20.38,20.38,20.38,20.16
19 Aug 2024,20.46,20.46,20.46,20.46,20.24
16 Aug 2024,20.33,20.33,20.33,20.33,20.11
15 Aug 2024,20.23,20.23,20.23,20.23,20.01
14 Aug 2024,20.01,20.01,20.01,20.01,19.79
13 Aug 2024,19.95,19.95,19.95,19.95,19.73
12 Aug 2024,19.70,19.70,19.70,19.70,19.49
9 Aug 2024,19.71,19.71,19.71,19.71,19.50
8 Aug 2024,19.62,19.62,19.62,19.62,19.41
7 Aug 2024,19.26,19.26,19.26,19.26,19.05
6 Aug 2024,19.27,19.27,19.27,19.27,19.06
5 Aug 2024,19.15,19.15,19.15,19.15,18.94
2 Aug 2024,19.61,19.61,19.61,19.61,19.40
1 Aug 2024,19.91,19.91,19.91,19.91,19.69
31 Jul 2024,20.22,20.22,20.22,20.22,20.00
30 Jul 2024,20.02,20.02,20.02,20.02,19.80
29 Jul 2024,20.00,20.00,20.00,20.00,19.78
26 Jul 2024,20.01,20.01,20.01,20.01,19.79
25 Jul 2024,19.77,19.77,19.77,19.77,19.56
24 Jul 2024,19.85,19.85,19.85,19.85,19.64
23 Jul 2024,20.08,20.08,20.08,20.08,19.86
22 Jul 2024,20.14,20.14,20.14,20.14,19.92
19 Jul 2024,20.01,20.01,20.01,20.01,19.79
18 Jul 2024,20.13,20.13,20.13,20.13,19.91
17 Jul 2024,20.31,20.31,20.31,20.31,20.09
16 Jul 2024,20.42,20.42,20.42,20.42,20.20
15 Jul 2024,20.22,20.22,20.22,20.22,20.00
12 Jul 2024,20.22,20.22,20.22,20.22,20.00
11 Jul 2024,20.11,20.11,20.11,20.11,19.89
10 Jul 2024,20.05,20.05,20.05,20.05,19.83
9 Jul 2024,19.84,19.84,19.84,19.84,19.63
8 Jul 2024,19.85,19.85,19.85,19.85,19.64
5 Jul 2024,19.84,19.84,19.84,19.84,19.63
3 Jul 2024,19.88,19.88,19.88,19.88,19.57
2 Jul 2024,19.78,19.78,19.78,19.78,19.47
1 Jul 2024,19.67,19.67,19.67,19.67,19.37
28 Jun 2024,19.65,19.65,19.65,19.65,19.35
