Date,Open,High,Low,Close,Adj Close
29 Nov 2024,9.51,9.51,9.51,9.51,9.37
27 Nov 2024,9.51,9.51,9.51,9.51,9.37
26 Nov 2024,9.38,9.38,9.38,9.38,9.24
25 Nov 2024,9.39,9.39,9.39,9.39,9.25
22 Nov 2024,9.32,9.32,9.32,9.32,9.18
21 Nov 2024,9.25,9.25,9.25,9.25,9.11
20 Nov 2024,9.28,9.28,9.28,9.28,9.14
19 Nov 2024,9.36,9.36,9.36,9.36,9.22
18 Nov 2024,9.33,9.33,9.33,9.33,9.19
15 Nov 2024,9.33,9.33,9.33,9.33,9.19
14 Nov 2024,9.33,9.33,9.33,9.33,9.19
13 Nov 2024,9.34,9.34,9.34,9.34,9.20
12 Nov 2024,9.45,9.45,9.45,9.45,9.31
11 Nov 2024,9.56,9.56,9.56,9.56,9.42
8 Nov 2024,9.59,9.59,9.59,9.59,9.45
7 Nov 2024,9.61,9.61,9.61,9.61,9.47
6 Nov 2024,9.52,9.52,9.52,9.52,9.38
5 Nov 2024,9.69,9.69,9.69,9.69,9.55
4 Nov 2024,9.64,9.64,9.64,9.64,9.50
1 Nov 2024,9.64,9.64,9.64,9.64,9.50
31 Oct 2024,9.67,9.67,9.67,9.67,9.53
30 Oct 2024,9.75,9.75,9.75,9.75,9.60
29 Oct 2024,9.74,9.74,9.74,9.74,9.59
28 Oct 2024,9.79,9.79,9.79,9.79,9.64
25 Oct 2024,9.75,9.75,9.75,9.75,9.60
24 Oct 2024,9.82,9.82,9.82,9.82,9.67
23 Oct 2024,9.79,9.79,9.79,9.79,9.64
22 Oct 2024,9.85,9.85,9.85,9.85,9.70
21 Oct 2024,9.94,9.94,9.94,9.94,9.79
18 Oct 2024,10.07,10.07,10.07,10.07,9.92
17 Oct 2024,10.09,10.09,10.09,10.09,9.94
16 Oct 2024,10.11,10.11,10.11,10.11,9.96
15 Oct 2024,10.05,10.05,10.05,10.05,9.90
14 Oct 2024,10.11,10.11,10.11,10.11,9.96
11 Oct 2024,10.16,10.16,10.16,10.16,10.01
10 Oct 2024,10.10,10.10,10.10,10.10,9.95
9 Oct 2024,10.15,10.15,10.15,10.15,10.00
8 Oct 2024,10.17,10.17,10.17,10.17,10.02
7 Oct 2024,10.25,10.25,10.25,10.25,10.10
4 Oct 2024,10.34,10.34,10.34,10.34,10.19
3 Oct 2024,10.38,10.38,10.38,10.38,10.23
2 Oct 2024,10.48,10.48,10.48,10.48,10.32
1 Oct 2024,10.53,10.53,10.53,10.53,10.37
30 Sept 2024,10.54,10.54,10.54,10.54,10.38
27 Sept 2024,10.63,10.63,10.63,10.63,10.47
26 Sept 2024,10.60,10.60,10.60,10.60,10.44
25 Sept 2024,10.41,10.41,10.41,10.41,10.25
24 Sept 2024,10.47,10.47,10.47,10.47,10.31
23 Sept 2024,10.45,10.45,10.45,10.45,10.29
20 Sept 2024,10.43,10.43,10.43,10.43,10.27
19 Sept 2024,10.50,10.50,10.50,10.50,10.34
18 Sept 2024,10.37,10.37,10.37,10.37,10.22
17 Sept 2024,10.39,10.39,10.39,10.39,10.23
16 Sept 2024,10.41,10.41,10.41,10.41,10.25
13 Sept 2024,10.38,10.38,10.38,10.38,10.23
12 Sept 2024,10.66,10.66,10.66,10.66,10.17
11 Sept 2024,10.61,10.61,10.61,10.61,10.12
10 Sept 2024,10.63,10.63,10.63,10.63,10.14
9 Sept 2024,10.53,10.53,10.53,10.53,10.05
6 Sept 2024,10.49,10.49,10.49,10.49,10.01
5 Sept 2024,10.55,10.55,10.55,10.55,10.06
