Date,Open,High,Low,Close,Adj Close
29 Nov 2024,31.97,31.97,31.97,31.97,31.17
27 Nov 2024,31.70,31.70,31.70,31.70,30.91
26 Nov 2024,31.48,31.48,31.48,31.48,30.69
25 Nov 2024,31.65,31.65,31.65,31.65,30.86
22 Nov 2024,31.49,31.49,31.49,31.49,30.70
21 Nov 2024,31.36,31.36,31.36,31.36,30.58
20 Nov 2024,31.31,31.31,31.31,31.31,30.53
19 Nov 2024,31.51,31.51,31.51,31.51,30.72
18 Nov 2024,31.53,31.53,31.53,31.53,30.74
15 Nov 2024,31.46,31.46,31.46,31.46,30.67
14 Nov 2024,31.53,31.53,31.53,31.53,30.74
13 Nov 2024,31.70,31.70,31.70,31.70,30.91
12 Nov 2024,31.95,31.95,31.95,31.95,31.15
11 Nov 2024,32.31,32.31,32.31,32.31,31.50
8 Nov 2024,32.36,32.36,32.36,32.36,31.55
7 Nov 2024,32.62,32.62,32.62,32.62,31.80
6 Nov 2024,32.17,32.17,32.17,32.17,31.37
5 Nov 2024,32.33,32.33,32.33,32.33,31.52
4 Nov 2024,32.08,32.08,32.08,32.08,31.28
1 Nov 2024,32.08,32.08,32.08,32.08,31.28
31 Oct 2024,32.03,32.03,32.03,32.03,31.23
30 Oct 2024,32.29,32.29,32.29,32.29,31.48
29 Oct 2024,32.23,32.23,32.23,32.23,31.42
28 Oct 2024,32.33,32.33,32.33,32.33,31.52
25 Oct 2024,32.25,32.25,32.25,32.25,31.44
24 Oct 2024,32.49,32.49,32.49,32.49,31.68
23 Oct 2024,32.38,32.38,32.38,32.38,31.57
22 Oct 2024,32.72,32.72,32.72,32.72,31.90
21 Oct 2024,32.90,32.90,32.90,32.90,32.08
18 Oct 2024,33.22,33.22,33.22,33.22,32.39
17 Oct 2024,33.14,33.14,33.14,33.14,32.31
16 Oct 2024,33.17,33.17,33.17,33.17,32.34
15 Oct 2024,33.14,33.14,33.14,33.14,32.31
14 Oct 2024,33.33,33.33,33.33,33.33,32.50
11 Oct 2024,33.33,33.33,33.33,33.33,32.50
10 Oct 2024,33.26,33.26,33.26,33.26,32.43
9 Oct 2024,33.37,33.37,33.37,33.37,32.54
8 Oct 2024,33.41,33.41,33.41,33.41,32.57
7 Oct 2024,33.65,33.65,33.65,33.65,32.81
4 Oct 2024,33.81,33.81,33.81,33.81,32.96
3 Oct 2024,33.59,33.59,33.59,33.59,32.75
2 Oct 2024,33.83,33.83,33.83,33.83,32.98
1 Oct 2024,33.97,33.97,33.97,33.97,33.12
30 Sept 2024,34.17,34.17,34.17,34.17,33.32
27 Sept 2024,34.25,34.25,34.25,34.25,33.39
26 Sept 2024,34.41,34.41,34.41,34.41,33.55
25 Sept 2024,33.73,33.73,33.73,33.73,32.89
24 Sept 2024,33.95,33.95,33.95,33.95,33.10
23 Sept 2024,33.79,33.79,33.79,33.79,32.94
20 Sept 2024,33.65,33.65,33.65,33.65,32.81
19 Sept 2024,33.97,33.97,33.97,33.97,33.12
18 Sept 2024,33.41,33.41,33.41,33.41,32.57
17 Sept 2024,33.49,33.49,33.49,33.49,32.65
16 Sept 2024,33.52,33.52,33.52,33.52,32.68
13 Sept 2024,33.35,33.35,33.35,33.35,32.52
12 Sept 2024,33.22,33.22,33.22,33.22,32.39
11 Sept 2024,32.96,32.96,32.96,32.96,32.14
10 Sept 2024,32.91,32.91,32.91,32.91,32.09
9 Sept 2024,32.95,32.95,32.95,32.95,32.13
6 Sept 2024,32.85,32.85,32.85,32.85,32.03
5 Sept 2024,33.37,33.37,33.37,33.37,32.54
4 Sept 2024,33.25,33.25,33.25,33.25,32.42
3 Sept 2024,33.24,33.24,33.24,33.24,32.41
30 Aug 2024,33.82,33.82,33.82,33.82,32.97
29 Aug 2024,33.71,33.71,33.71,33.71,32.87
28 Aug 2024,33.75,33.75,33.75,33.75,32.91
27 Aug 2024,33.96,33.96,33.96,33.96,33.11
26 Aug 2024,33.80,33.80,33.80,33.80,32.95
23 Aug 2024,33.94,33.94,33.94,33.94,33.09
22 Aug 2024,33.48,33.48,33.48,33.48,32.64
21 Aug 2024,33.70,33.70,33.70,33.70,32.86
20 Aug 2024,33.55,33.55,33.55,33.55,32.71
19 Aug 2024,33.68,33.68,33.68,33.68,32.84
16 Aug 2024,33.38,33.38,33.38,33.38,32.55
15 Aug 2024,33.14,33.14,33.14,33.14,32.31
14 Aug 2024,32.84,32.84,32.84,32.84,32.02
13 Aug 2024,32.69,32.69,32.69,32.69,31.87
12 Aug 2024,32.28,32.28,32.28,32.28,31.47
9 Aug 2024,32.24,32.24,32.24,32.24,31.43
8 Aug 2024,31.97,31.97,31.97,31.97,31.17
7 Aug 2024,31.58,31.58,31.58,31.58,30.79
6 Aug 2024,31.45,31.45,31.45,31.45,30.66
5 Aug 2024,31.28,31.28,31.28,31.28,30.50
2 Aug 2024,32.18,32.18,32.18,32.18,31.38
1 Aug 2024,32.69,32.69,32.69,32.69,31.87
31 Jul 2024,33.42,33.42,33.42,33.42,32.58
30 Jul 2024,32.84,32.84,32.84,32.84,32.02
29 Jul 2024,32.94,32.94,32.94,32.94,32.12
26 Jul 2024,32.95,32.95,32.95,32.95,32.13
25 Jul 2024,32.54,32.54,32.54,32.54,31.73
24 Jul 2024,32.81,32.81,32.81,32.81,31.99
23 Jul 2024,33.22,33.22,33.22,33.22,32.39
22 Jul 2024,33.27,33.27,33.27,33.27,32.44
19 Jul 2024,33.16,33.16,33.16,33.16,32.33
18 Jul 2024,33.39,33.39,33.39,33.39,32.55
17 Jul 2024,33.51,33.51,33.51,33.51,32.67
16 Jul 2024,33.66,33.66,33.66,33.66,32.82
15 Jul 2024,33.49,33.49,33.49,33.49,32.65
12 Jul 2024,33.54,33.54,33.54,33.54,32.70
11 Jul 2024,33.20,33.20,33.20,33.20,32.37
10 Jul 2024,32.93,32.93,32.93,32.93,32.11
9 Jul 2024,32.71,32.71,32.71,32.71,31.89
8 Jul 2024,32.80,32.80,32.80,32.80,31.98
5 Jul 2024,32.81,32.81,32.81,32.81,31.99
3 Jul 2024,32.67,32.67,32.67,32.67,31.85
2 Jul 2024,32.33,32.33,32.33,32.33,31.52
1 Jul 2024,32.29,32.29,32.29,32.29,31.48
28 Jun 2024,32.25,32.25,32.25,32.25,31.44
27 Jun 2024,32.16,32.16,32.16,32.16,31.36
26 Jun 2024,32.10,32.10,32.10,32.10,31.30
25 Jun 2024,32.29,32.29,32.29,32.29,31.48
24 Jun 2024,32.40,32.40,32.40,32.40,31.59
21 Jun 2024,32.20,32.20,32.20,32.20,31.39
20 Jun 2024,32.25,32.25,32.25,32.25,31.44
18 Jun 2024,32.27,32.27,32.27,32.27,31.46
17 Jun 2024,32.01,32.01,32.01,32.01,31.21
14 Jun 2024,31.95,31.95,31.95,31.95,31.15
13 Jun 2024,32.16,32.16,32.16,32.16,31.36
12 Jun 2024,32.45,32.45,32.45,32.45,31.64
11 Jun 2024,32.32,32.32,32.32,32.32,31.51
10 Jun 2024,32.52,32.52,32.52,32.52,31.71
7 Jun 2024,32.48,32.48,32.48,32.48,31.67
6 Jun 2024,32.84,32.84,32.84,32.84,32.02
5 Jun 2024,32.86,32.86,32.86,32.86,32.04
4 Jun 2024,32.67,32.67,32.67,32.67,31.85
3 Jun 2024,32.93,32.93,32.93,32.93,32.11
31 May 2024,32.82,32.82,32.82,32.82,32.00
30 May 2024,32.55,32.55,32.55,32.55,31.74
29 May 2024,32.37,32.37,32.37,32.37,31.56
28 May 2024,32.78,32.78,32.78,32.78,31.96
24 May 2024,32.74,32.74,32.74,32.74,31.92
23 May 2024,32.41,32.41,32.41,32.41,31.60
22 May 2024,32.58,32.58,32.58,32.58,31.77
21 May 2024,32.78,32.78,32.78,32.78,31.96
20 May 2024,32.94,32.94,32.94,32.94,32.12
17 May 2024,32.86,32.86,32.86,32.86,32.04
16 May 2024,32.87,32.87,32.87,32.87,32.05
15 May 2024,33.00,33.00,33.00,33.00,32.17
14 May 2024,32.74,32.74,32.74,32.74,31.92
13 May 2024,32.68,32.68,32.68,32.68,31.86
10 May 2024,32.63,32.63,32.63,32.63,31.81
9 May 2024,32.64,32.64,32.64,32.64,31.82
8 May 2024,32.48,32.48,32.48,32.48,31.67
7 May 2024,32.42,32.42,32.42,32.42,31.61
6 May 2024,32.42,32.42,32.42,32.42,31.61
3 May 2024,32.16,32.16,32.16,32.16,31.36
2 May 2024,31.90,31.90,31.90,31.90,31.10
1 May 2024,31.55,31.55,31.55,31.55,30.76
30 Apr 2024,31.59,31.59,31.59,31.59,30.80
29 Apr 2024,31.94,31.94,31.94,31.94,31.14
26 Apr 2024,31.61,31.61,31.61,31.61,30.82
25 Apr 2024,31.41,31.41,31.41,31.41,30.62
24 Apr 2024,31.55,31.55,31.55,31.55,30.76
23 Apr 2024,31.54,31.54,31.54,31.54,30.75
22 Apr 2024,31.22,31.22,31.22,31.22,30.44
19 Apr 2024,30.89,30.89,30.89,30.89,30.12
18 Apr 2024,31.16,31.16,31.16,31.16,30.38
17 Apr 2024,31.09,31.09,31.09,31.09,30.31
16 Apr 2024,31.04,31.04,31.04,31.04,30.26
15 Apr 2024,31.40,31.40,31.40,31.40,30.61
12 Apr 2024,31.56,31.56,31.56,31.56,30.77
11 Apr 2024,32.00,32.00,32.00,32.00,31.20
10 Apr 2024,31.98,31.98,31.98,31.98,31.18
9 Apr 2024,32.33,32.33,32.33,32.33,31.52
8 Apr 2024,32.46,32.46,32.46,32.46,31.65
5 Apr 2024,32.28,32.28,32.28,32.28,31.47
4 Apr 2024,32.21,32.21,32.21,32.21,31.40
3 Apr 2024,32.39,32.39,32.39,32.39,31.58
2 Apr 2024,32.19,32.19,32.19,32.19,31.39
1 Apr 2024,32.25,32.25,32.25,32.25,31.44
28 Mar 2024,32.34,32.34,32.34,32.34,31.53
27 Mar 2024,32.41,32.41,32.41,32.41,31.60
26 Mar 2024,32.25,32.25,32.25,32.25,31.44
25 Mar 2024,32.13,32.13,32.13,32.13,31.33
22 Mar 2024,32.17,32.17,32.17,32.17,31.37
21 Mar 2024,32.34,32.34,32.34,32.34,31.53
20 Mar 2024,32.38,32.38,32.38,32.38,31.57
19 Mar 2024,32.08,32.08,32.08,32.08,31.28
18 Mar 2024,32.13,32.13,32.13,32.13,31.33
15 Mar 2024,32.02,32.02,32.02,32.02,31.22
14 Mar 2024,32.00,32.00,32.00,32.00,31.20
13 Mar 2024,32.09,32.09,32.09,32.09,31.29
12 Mar 2024,32.11,32.11,32.11,32.11,31.31
11 Mar 2024,31.93,31.93,31.93,31.93,31.13
8 Mar 2024,32.04,32.04,32.04,32.04,31.24
7 Mar 2024,32.07,32.07,32.07,32.07,31.27
6 Mar 2024,31.83,31.83,31.83,31.83,31.03
5 Mar 2024,31.57,31.57,31.57,31.57,30.78
4 Mar 2024,31.55,31.55,31.55,31.55,30.76
1 Mar 2024,31.59,31.59,31.59,31.59,30.80
29 Feb 2024,31.36,31.36,31.36,31.36,30.58
28 Feb 2024,31.32,31.32,31.32,31.32,30.54
27 Feb 2024,31.43,31.43,31.43,31.43,30.64
26 Feb 2024,31.43,31.43,31.43,31.43,30.64
23 Feb 2024,31.39,31.39,31.39,31.39,30.61
22 Feb 2024,31.43,31.43,31.43,31.43,30.64
21 Feb 2024,31.19,31.19,31.19,31.19,30.41
20 Feb 2024,31.18,31.18,31.18,31.18,30.40
16 Feb 2024,31.18,31.18,31.18,31.18,30.40
15 Feb 2024,31.12,31.12,31.12,31.12,30.34
14 Feb 2024,30.91,30.91,30.91,30.91,30.14
13 Feb 2024,30.73,30.73,30.73,30.73,29.96
12 Feb 2024,31.07,31.07,31.07,31.07,30.29
9 Feb 2024,30.91,30.91,30.91,30.91,30.14
8 Feb 2024,30.97,30.97,30.97,30.97,30.20
7 Feb 2024,31.06,31.06,31.06,31.06,30.28
6 Feb 2024,31.04,31.04,31.04,31.04,30.26
5 Feb 2024,31.03,31.03,31.03,31.03,30.25
2 Feb 2024,31.03,31.03,31.03,31.03,30.25
1 Feb 2024,31.21,31.21,31.21,31.21,30.43
31 Jan 2024,30.95,30.95,30.95,30.95,30.18
30 Jan 2024,31.00,31.00,31.00,31.00,30.22
29 Jan 2024,31.06,31.06,31.06,31.06,30.28
26 Jan 2024,31.03,31.03,31.03,31.03,30.25
25 Jan 2024,31.04,31.04,31.04,31.04,30.26
24 Jan 2024,30.96,30.96,30.96,30.96,30.19
23 Jan 2024,30.84,30.84,30.84,30.84,30.07
22 Jan 2024,30.88,30.88,30.88,30.88,30.11
19 Jan 2024,30.79,30.79,30.79,30.79,30.02
18 Jan 2024,30.66,30.66,30.66,30.66,29.89
17 Jan 2024,30.52,30.52,30.52,30.52,29.76
16 Jan 2024,30.77,30.77,30.77,30.77,30.00
12 Jan 2024,31.19,31.19,31.19,31.19,30.41
11 Jan 2024,31.04,31.04,31.04,31.04,30.26
10 Jan 2024,30.99,30.99,30.99,30.99,30.22
9 Jan 2024,30.93,30.93,30.93,30.93,30.16
8 Jan 2024,31.13,31.13,31.13,31.13,30.35
5 Jan 2024,30.84,30.84,30.84,30.84,30.07
4 Jan 2024,30.90,30.90,30.90,30.90,30.13
3 Jan 2024,30.77,30.77,30.77,30.77,30.00
2 Jan 2024,31.03,31.03,31.03,31.03,30.25
29 Dec 2023,31.36,31.36,31.36,31.36,30.58
28 Dec 2023,31.32,31.32,31.32,31.32,30.54
27 Dec 2023,31.34,31.34,31.34,31.34,30.56
26 Dec 2023,31.07,31.07,31.07,31.07,30.28
22 Dec 2023,30.99,30.99,30.99,30.99,30.20
21 Dec 2023,30.92,30.92,30.92,30.92,30.13
20 Dec 2023,30.54,30.54,30.54,30.54,29.76
19 Dec 2023,30.73,30.73,30.73,30.73,29.95
18 Dec 2023,30.46,30.46,30.46,30.46,29.69
15 Dec 2023,30.52,30.52,30.52,30.52,29.74
14 Dec 2023,30.71,30.71,30.71,30.71,29.93
13 Dec 2023,30.25,30.25,30.25,30.25,29.48
12 Dec 2023,29.83,29.83,29.83,29.83,29.07
11 Dec 2023,29.83,29.83,29.83,29.83,29.07
8 Dec 2023,29.79,29.79,29.79,29.79,29.03
7 Dec 2023,30.36,30.36,30.36,30.36,29.03
6 Dec 2023,30.22,30.22,30.22,30.22,28.90
5 Dec 2023,30.00,30.00,30.00,30.00,28.69
4 Dec 2023,30.06,30.06,30.06,30.06,28.74
1 Dec 2023,30.23,30.23,30.23,30.23,28.91
30 Nov 2023,29.87,29.87,29.87,29.87,28.56
29 Nov 2023,29.98,29.98,29.98,29.98,28.67
28 Nov 2023,29.97,29.97,29.97,29.97,28.66
27 Nov 2023,29.74,29.74,29.74,29.74,28.44
24 Nov 2023,29.73,29.73,29.73,29.73,28.43
22 Nov 2023,29.49,29.49,29.49,29.49,28.20
21 Nov 2023,29.51,29.51,29.51,29.51,28.22
20 Nov 2023,29.59,29.59,29.59,29.59,28.29
17 Nov 2023,29.46,29.46,29.46,29.46,28.17
16 Nov 2023,29.18,29.18,29.18,29.18,27.90
15 Nov 2023,29.37,29.37,29.37,29.37,28.08
14 Nov 2023,29.32,29.32,29.32,29.32,28.04
13 Nov 2023,28.44,28.44,28.44,28.44,27.19
10 Nov 2023,28.47,28.47,28.47,28.47,27.22
9 Nov 2023,28.38,28.38,28.38,28.38,27.14
8 Nov 2023,28.34,28.34,28.34,28.34,27.10
7 Nov 2023,28.39,28.39,28.39,28.39,27.15
6 Nov 2023,28.57,28.57,28.57,28.57,27.32
3 Nov 2023,28.68,28.68,28.68,28.68,27.42
2 Nov 2023,28.23,28.23,28.23,28.23,26.99
1 Nov 2023,27.73,27.73,27.73,27.73,26.52
31 Oct 2023,27.46,27.46,27.46,27.46,26.26
30 Oct 2023,27.40,27.40,27.40,27.40,26.20
27 Oct 2023,27.17,27.17,27.17,27.17,25.98
26 Oct 2023,27.14,27.14,27.14,27.14,25.95
25 Oct 2023,27.16,27.16,27.16,27.16,25.97
24 Oct 2023,27.42,27.42,27.42,27.42,26.22
23 Oct 2023,27.41,27.41,27.41,27.41,26.21
20 Oct 2023,27.37,27.37,27.37,27.37,26.17
19 Oct 2023,27.57,27.57,27.57,27.57,26.36
18 Oct 2023,27.71,27.71,27.71,27.71,26.50
17 Oct 2023,28.11,28.11,28.11,28.11,26.88
16 Oct 2023,28.15,28.15,28.15,28.15,26.92
13 Oct 2023,28.01,28.01,28.01,28.01,26.78
12 Oct 2023,28.42,28.42,28.42,28.42,27.18
11 Oct 2023,28.60,28.60,28.60,28.60,27.35
10 Oct 2023,28.63,28.63,28.63,28.63,27.38
9 Oct 2023,28.26,28.26,28.26,28.26,27.02
6 Oct 2023,28.27,28.27,28.27,28.27,27.03
5 Oct 2023,28.06,28.06,28.06,28.06,26.83
4 Oct 2023,27.85,27.85,27.85,27.85,26.63
3 Oct 2023,27.91,27.91,27.91,27.91,26.69
2 Oct 2023,28.30,28.30,28.30,28.30,27.06
29 Sept 2023,28.66,28.66,28.66,28.66,27.41
28 Sept 2023,28.62,28.62,28.62,28.62,27.37
27 Sept 2023,28.54,28.54,28.54,28.54,27.29
26 Sept 2023,28.63,28.63,28.63,28.63,27.38
25 Sept 2023,28.87,28.87,28.87,28.87,27.61
22 Sept 2023,29.06,29.06,29.06,29.06,27.79
21 Sept 2023,29.01,29.01,29.01,29.01,27.74
20 Sept 2023,29.28,29.28,29.28,29.28,28.00
19 Sept 2023,29.40,29.40,29.40,29.40,28.11
18 Sept 2023,29.45,29.45,29.45,29.45,28.16
15 Sept 2023,29.56,29.56,29.56,29.56,28.27
14 Sept 2023,29.58,29.58,29.58,29.58,28.29
13 Sept 2023,29.46,29.46,29.46,29.46,28.17
12 Sept 2023,29.51,29.51,29.51,29.51,28.22
11 Sept 2023,29.50,29.50,29.50,29.50,28.21
8 Sept 2023,29.26,29.26,29.26,29.26,27.98
7 Sept 2023,29.30,29.30,29.30,29.30,28.02
6 Sept 2023,29.36,29.36,29.36,29.36,28.07
5 Sept 2023,29.47,29.47,29.47,29.47,28.18
1 Sept 2023,29.64,29.64,29.64,29.64,28.34
31 Aug 2023,29.68,29.68,29.68,29.68,28.38
30 Aug 2023,29.70,29.70,29.70,29.70,28.40
29 Aug 2023,29.72,29.72,29.72,29.72,28.42
28 Aug 2023,29.37,29.37,29.37,29.37,28.08
25 Aug 2023,29.20,29.20,29.20,29.20,27.92
24 Aug 2023,29.14,29.14,29.14,29.14,27.86
23 Aug 2023,29.34,29.34,29.34,29.34,28.06
