Date,Open,High,Low,Close,Adj Close
29 Nov 2024,15.21,15.21,15.21,15.21,14.79
27 Nov 2024,15.09,15.09,15.09,15.09,14.68
26 Nov 2024,15.03,15.03,15.03,15.03,14.62
25 Nov 2024,15.12,15.12,15.12,15.12,14.71
22 Nov 2024,15.06,15.06,15.06,15.06,14.65
21 Nov 2024,15.01,15.01,15.01,15.01,14.60
20 Nov 2024,15.01,15.01,15.01,15.01,14.60
19 Nov 2024,15.06,15.06,15.06,15.06,14.65
18 Nov 2024,15.06,15.06,15.06,15.06,14.65
15 Nov 2024,14.93,14.93,14.93,14.93,14.52
14 Nov 2024,15.00,15.00,15.00,15.00,14.59
13 Nov 2024,15.01,15.01,15.01,15.01,14.60
12 Nov 2024,15.11,15.11,15.11,15.11,14.70
11 Nov 2024,15.36,15.36,15.36,15.36,14.94
8 Nov 2024,15.38,15.38,15.38,15.38,14.96
7 Nov 2024,15.60,15.60,15.60,15.60,15.17
6 Nov 2024,15.36,15.36,15.36,15.36,14.94
5 Nov 2024,15.54,15.54,15.54,15.54,15.11
4 Nov 2024,15.38,15.38,15.38,15.38,14.96
1 Nov 2024,15.33,15.33,15.33,15.33,14.91
31 Oct 2024,15.28,15.28,15.28,15.28,14.86
30 Oct 2024,15.43,15.43,15.43,15.43,15.01
29 Oct 2024,15.53,15.53,15.53,15.53,15.10
28 Oct 2024,15.57,15.57,15.57,15.57,15.14
25 Oct 2024,15.48,15.48,15.48,15.48,15.06
24 Oct 2024,15.52,15.52,15.52,15.52,15.09
23 Oct 2024,15.48,15.48,15.48,15.48,15.06
22 Oct 2024,15.60,15.60,15.60,15.60,15.17
21 Oct 2024,15.69,15.69,15.69,15.69,15.26
18 Oct 2024,15.82,15.82,15.82,15.82,15.39
17 Oct 2024,15.71,15.71,15.71,15.71,15.28
16 Oct 2024,15.71,15.71,15.71,15.71,15.28
15 Oct 2024,15.64,15.64,15.64,15.64,15.21
14 Oct 2024,15.92,15.92,15.92,15.92,15.48
11 Oct 2024,15.90,15.90,15.90,15.90,15.46
10 Oct 2024,15.81,15.81,15.81,15.81,15.38
9 Oct 2024,15.82,15.82,15.82,15.82,15.39
8 Oct 2024,15.84,15.84,15.84,15.84,15.41
7 Oct 2024,15.97,15.97,15.97,15.97,15.53
4 Oct 2024,15.99,15.99,15.99,15.99,15.55
3 Oct 2024,15.90,15.90,15.90,15.90,15.46
2 Oct 2024,16.06,16.06,16.06,16.06,15.62
1 Oct 2024,15.99,15.99,15.99,15.99,15.55
30 Sept 2024,16.04,16.04,16.04,16.04,15.60
27 Sept 2024,16.12,16.12,16.12,16.12,15.68
26 Sept 2024,16.19,16.19,16.19,16.19,15.75
25 Sept 2024,15.81,15.81,15.81,15.81,15.38
24 Sept 2024,15.90,15.90,15.90,15.90,15.46
23 Sept 2024,15.69,15.69,15.69,15.69,15.26
20 Sept 2024,15.63,15.63,15.63,15.63,15.20
19 Sept 2024,15.74,15.74,15.74,15.74,15.31
18 Sept 2024,15.43,15.43,15.43,15.43,15.01
17 Sept 2024,15.48,15.48,15.48,15.48,15.06
16 Sept 2024,15.51,15.51,15.51,15.51,15.08
13 Sept 2024,15.42,15.42,15.42,15.42,15.00
12 Sept 2024,15.39,15.39,15.39,15.39,14.97
11 Sept 2024,15.25,15.25,15.25,15.25,14.83
10 Sept 2024,15.15,15.15,15.15,15.15,14.73
9 Sept 2024,15.21,15.21,15.21,15.21,14.79
6 Sept 2024,15.08,15.08,15.08,15.08,14.67
5 Sept 2024,15.36,15.36,15.36,15.36,14.94
4 Sept 2024,15.34,15.34,15.34,15.34,14.92
3 Sept 2024,15.39,15.39,15.39,15.39,14.97
30 Aug 2024,15.66,15.66,15.66,15.66,15.23
29 Aug 2024,15.63,15.63,15.63,15.63,15.20
28 Aug 2024,15.57,15.57,15.57,15.57,15.14
27 Aug 2024,15.64,15.64,15.64,15.64,15.21
26 Aug 2024,15.59,15.59,15.59,15.59,15.16
23 Aug 2024,15.65,15.65,15.65,15.65,15.22
22 Aug 2024,15.41,15.41,15.41,15.41,14.99
21 Aug 2024,15.50,15.50,15.50,15.50,15.08
20 Aug 2024,15.41,15.41,15.41,15.41,14.99
19 Aug 2024,15.48,15.48,15.48,15.48,15.06
16 Aug 2024,15.32,15.32,15.32,15.32,14.90
15 Aug 2024,15.20,15.20,15.20,15.20,14.78
14 Aug 2024,15.02,15.02,15.02,15.02,14.61
13 Aug 2024,15.00,15.00,15.00,15.00,14.59
12 Aug 2024,14.77,14.77,14.77,14.77,14.37
9 Aug 2024,14.77,14.77,14.77,14.77,14.37
8 Aug 2024,14.72,14.72,14.72,14.72,14.32
7 Aug 2024,14.46,14.46,14.46,14.46,14.06
6 Aug 2024,14.40,14.40,14.40,14.40,14.01
5 Aug 2024,14.33,14.33,14.33,14.33,13.94
2 Aug 2024,14.67,14.67,14.67,14.67,14.27
1 Aug 2024,14.93,14.93,14.93,14.93,14.52
31 Jul 2024,15.26,15.26,15.26,15.26,14.84
30 Jul 2024,15.00,15.00,15.00,15.00,14.59
29 Jul 2024,15.01,15.01,15.01,15.01,14.60
26 Jul 2024,15.05,15.05,15.05,15.05,14.64
25 Jul 2024,14.90,14.90,14.90,14.90,14.49
24 Jul 2024,14.99,14.99,14.99,14.99,14.58
23 Jul 2024,15.18,15.18,15.18,15.18,14.76
22 Jul 2024,15.24,15.24,15.24,15.24,14.82
19 Jul 2024,15.11,15.11,15.11,15.11,14.70
18 Jul 2024,15.22,15.22,15.22,15.22,14.80
17 Jul 2024,15.34,15.34,15.34,15.34,14.92
16 Jul 2024,15.47,15.47,15.47,15.47,15.05
15 Jul 2024,15.41,15.41,15.41,15.41,14.99
12 Jul 2024,15.53,15.53,15.53,15.53,15.10
11 Jul 2024,15.40,15.40,15.40,15.40,14.98
10 Jul 2024,15.34,15.34,15.34,15.34,14.92
9 Jul 2024,15.18,15.18,15.18,15.18,14.76
8 Jul 2024,15.19,15.19,15.19,15.19,14.77
5 Jul 2024,15.24,15.24,15.24,15.24,14.82
3 Jul 2024,15.14,15.14,15.14,15.14,14.72
2 Jul 2024,14.97,14.97,14.97,14.97,14.56
1 Jul 2024,14.93,14.93,14.93,14.93,14.52
28 Jun 2024,14.89,14.89,14.89,14.89,14.48
27 Jun 2024,14.88,14.88,14.88,14.88,14.47
26 Jun 2024,14.89,14.89,14.89,14.89,14.48
25 Jun 2024,14.96,14.96,14.96,14.96,14.55
24 Jun 2024,14.93,14.93,14.93,14.93,14.52
21 Jun 2024,14.84,14.84,14.84,14.84,14.43
