Date,Open,High,Low,Close,Adj Close
29 Nov 2024,127.00,127.00,127.00,127.00,113.37
27 Nov 2024,126.64,126.64,126.64,126.64,113.05
26 Nov 2024,126.20,126.20,126.20,126.20,112.66
25 Nov 2024,126.46,126.46,126.46,126.46,112.89
22 Nov 2024,124.14,124.14,124.14,124.14,110.82
21 Nov 2024,124.50,124.50,124.50,124.50,111.14
20 Nov 2024,123.72,123.72,123.72,123.72,110.44
19 Nov 2024,121.38,121.38,121.38,121.38,108.36
18 Nov 2024,122.26,122.26,122.26,122.26,109.14
15 Nov 2024,122.08,122.08,122.08,122.08,108.98
14 Nov 2024,124.10,124.10,124.10,124.10,110.78
13 Nov 2024,125.72,125.72,125.72,125.72,112.23
12 Nov 2024,127.35,127.35,127.35,127.35,113.68
11 Nov 2024,129.80,129.80,129.80,129.80,115.87
8 Nov 2024,127.64,127.64,127.64,127.64,113.94
7 Nov 2024,128.92,128.92,128.92,128.92,115.09
6 Nov 2024,127.23,127.23,127.23,127.23,113.58
5 Nov 2024,123.22,123.22,123.22,123.22,110.00
4 Nov 2024,121.65,121.65,121.65,121.65,108.60
1 Nov 2024,122.53,122.53,122.53,122.53,109.38
31 Oct 2024,120.98,120.98,120.98,120.98,108.00
30 Oct 2024,121.86,121.86,121.86,121.86,108.78
29 Oct 2024,122.83,122.83,122.83,122.83,109.65
28 Oct 2024,122.62,122.62,122.62,122.62,109.46
25 Oct 2024,122.61,122.61,122.61,122.61,109.45
24 Oct 2024,123.10,123.10,123.10,123.10,109.89
23 Oct 2024,122.61,122.61,122.61,122.61,109.45
22 Oct 2024,123.67,123.67,123.67,123.67,110.40
21 Oct 2024,124.50,124.50,124.50,124.50,111.14
18 Oct 2024,126.21,126.21,126.21,126.21,112.67
17 Oct 2024,127.98,127.98,127.98,127.98,114.25
16 Oct 2024,130.25,130.25,130.25,130.25,116.27
15 Oct 2024,127.85,127.85,127.85,127.85,114.13
14 Oct 2024,131.75,131.75,131.75,131.75,117.61
11 Oct 2024,129.80,129.80,129.80,129.80,115.87
10 Oct 2024,129.14,129.14,129.14,129.14,115.28
9 Oct 2024,128.39,128.39,128.39,128.39,114.61
8 Oct 2024,127.15,127.15,127.15,127.15,113.51
7 Oct 2024,126.66,126.66,126.66,126.66,113.07
4 Oct 2024,128.00,128.00,128.00,128.00,114.26
3 Oct 2024,127.78,127.78,127.78,127.78,114.07
2 Oct 2024,128.98,128.98,128.98,128.98,115.14
1 Oct 2024,130.01,130.01,130.01,130.01,116.06
30 Sept 2024,132.12,132.12,132.12,132.12,117.94
27 Sept 2024,131.29,131.29,131.29,131.29,117.20
26 Sept 2024,130.80,130.80,130.80,130.80,116.76
25 Sept 2024,131.00,131.00,131.00,131.00,116.94
24 Sept 2024,131.35,131.35,131.35,131.35,117.26
23 Sept 2024,131.67,131.67,131.67,131.67,117.54
20 Sept 2024,131.63,131.63,131.63,131.63,117.51
19 Sept 2024,132.41,132.41,132.41,132.41,118.20
18 Sept 2024,132.38,132.38,132.38,132.38,118.17
17 Sept 2024,131.72,131.72,131.72,131.72,117.59
16 Sept 2024,133.65,133.65,133.65,133.65,119.31
13 Sept 2024,133.49,133.49,133.49,133.49,119.17
12 Sept 2024,132.11,132.11,132.11,132.11,117.93
11 Sept 2024,131.12,131.12,131.12,131.12,117.05
10 Sept 2024,131.43,131.43,131.43,131.43,117.33
9 Sept 2024,130.88,130.88,130.88,130.88,116.84
6 Sept 2024,131.46,131.46,131.46,131.46,117.35
5 Sept 2024,133.11,133.11,133.11,133.11,118.83
4 Sept 2024,135.33,135.33,135.33,135.33,120.81
3 Sept 2024,135.07,135.07,135.07,135.07,120.58
30 Aug 2024,134.20,134.20,134.20,134.20,119.80
29 Aug 2024,133.63,133.63,133.63,133.63,119.29
28 Aug 2024,133.25,133.25,133.25,133.25,118.95
27 Aug 2024,132.90,132.90,132.90,132.90,118.64
26 Aug 2024,133.26,133.26,133.26,133.26,118.96
23 Aug 2024,133.42,133.42,133.42,133.42,119.10
22 Aug 2024,131.42,131.42,131.42,131.42,117.32
21 Aug 2024,131.09,131.09,131.09,131.09,117.02
20 Aug 2024,130.97,130.97,130.97,130.97,116.92
19 Aug 2024,131.02,131.02,131.02,131.02,116.96
16 Aug 2024,130.76,130.76,130.76,130.76,116.73
15 Aug 2024,130.51,130.51,130.51,130.51,116.51
14 Aug 2024,129.56,129.56,129.56,129.56,115.66
13 Aug 2024,129.47,129.47,129.47,129.47,115.58
12 Aug 2024,127.75,127.75,127.75,127.75,114.04
9 Aug 2024,127.95,127.95,127.95,127.95,114.22
8 Aug 2024,128.82,128.82,128.82,128.82,115.00
7 Aug 2024,128.03,128.03,128.03,128.03,114.29
6 Aug 2024,129.33,129.33,129.33,129.33,115.45
5 Aug 2024,129.47,129.47,129.47,129.47,115.58
2 Aug 2024,132.77,132.77,132.77,132.77,118.52
1 Aug 2024,132.21,132.21,132.21,132.21,118.02
31 Jul 2024,131.99,131.99,131.99,131.99,117.83
30 Jul 2024,133.62,133.62,133.62,133.62,119.28
29 Jul 2024,131.22,131.22,131.22,131.22,117.14
26 Jul 2024,131.16,131.16,131.16,131.16,117.09
25 Jul 2024,128.70,128.70,128.70,128.70,114.89
24 Jul 2024,127.62,127.62,127.62,127.62,113.93
23 Jul 2024,126.39,126.39,126.39,126.39,112.83
22 Jul 2024,126.30,126.30,126.30,126.30,112.75
19 Jul 2024,126.45,126.45,126.45,126.45,112.88
18 Jul 2024,126.70,126.70,126.70,126.70,113.10
