Date,Open,High,Low,Close,Adj Close
29 Nov 2024,50.35,50.35,50.35,50.35,48.93
27 Nov 2024,49.69,49.69,49.69,49.69,48.28
26 Nov 2024,49.43,49.43,49.43,49.43,48.03
25 Nov 2024,49.76,49.76,49.76,49.76,48.35
22 Nov 2024,49.46,49.46,49.46,49.46,48.06
21 Nov 2024,49.24,49.24,49.24,49.24,47.85
20 Nov 2024,49.21,49.21,49.21,49.21,47.82
19 Nov 2024,49.46,49.46,49.46,49.46,48.06
18 Nov 2024,49.52,49.52,49.52,49.52,48.12
15 Nov 2024,49.16,49.16,49.16,49.16,47.77
14 Nov 2024,49.43,49.43,49.43,49.43,48.03
13 Nov 2024,49.29,49.29,49.29,49.29,47.90
12 Nov 2024,49.68,49.68,49.68,49.68,48.28
11 Nov 2024,50.54,50.54,50.54,50.54,49.11
8 Nov 2024,50.50,50.50,50.50,50.50,49.07
7 Nov 2024,51.16,51.16,51.16,51.16,49.71
6 Nov 2024,50.42,50.42,50.42,50.42,48.99
5 Nov 2024,51.17,51.17,51.17,51.17,49.72
4 Nov 2024,50.71,50.71,50.71,50.71,49.28
1 Nov 2024,50.64,50.64,50.64,50.64,49.21
31 Oct 2024,50.46,50.46,50.46,50.46,49.03
30 Oct 2024,50.92,50.92,50.92,50.92,49.48
29 Oct 2024,51.21,51.21,51.21,51.21,49.76
28 Oct 2024,51.33,51.33,51.33,51.33,49.88
25 Oct 2024,51.00,51.00,51.00,51.00,49.56
24 Oct 2024,51.16,51.16,51.16,51.16,49.71
23 Oct 2024,50.92,50.92,50.92,50.92,49.48
22 Oct 2024,51.38,51.38,51.38,51.38,49.93
21 Oct 2024,51.72,51.72,51.72,51.72,50.26
18 Oct 2024,52.26,52.26,52.26,52.26,50.78
17 Oct 2024,51.97,51.97,51.97,51.97,50.50
16 Oct 2024,51.88,51.88,51.88,51.88,50.41
15 Oct 2024,51.74,51.74,51.74,51.74,50.28
14 Oct 2024,52.66,52.66,52.66,52.66,51.17
11 Oct 2024,52.50,52.50,52.50,52.50,51.02
10 Oct 2024,52.24,52.24,52.24,52.24,50.76
9 Oct 2024,52.34,52.34,52.34,52.34,50.86
8 Oct 2024,52.28,52.28,52.28,52.28,50.80
7 Oct 2024,52.45,52.45,52.45,52.45,50.97
4 Oct 2024,52.64,52.64,52.64,52.64,51.15
3 Oct 2024,52.42,52.42,52.42,52.42,50.94
2 Oct 2024,52.98,52.98,52.98,52.98,51.48
1 Oct 2024,52.99,52.99,52.99,52.99,51.49
30 Sept 2024,53.40,53.40,53.40,53.40,51.89
27 Sept 2024,53.56,53.56,53.56,53.56,52.05
26 Sept 2024,53.93,53.93,53.93,53.93,52.40
25 Sept 2024,52.71,52.71,52.71,52.71,51.22
24 Sept 2024,53.02,53.02,53.02,53.02,51.52
