Date,Open,High,Low,Close,Adj Close
29 Nov 2024,11.89,11.89,11.89,11.89,11.71
27 Nov 2024,11.82,11.82,11.82,11.82,11.64
26 Nov 2024,11.78,11.78,11.78,11.78,11.60
25 Nov 2024,11.83,11.83,11.83,11.83,11.65
22 Nov 2024,11.80,11.80,11.80,11.80,11.62
21 Nov 2024,11.77,11.77,11.77,11.77,11.59
20 Nov 2024,11.75,11.75,11.75,11.75,11.57
19 Nov 2024,11.78,11.78,11.78,11.78,11.60
18 Nov 2024,11.79,11.79,11.79,11.79,11.61
15 Nov 2024,11.70,11.70,11.70,11.70,11.53
14 Nov 2024,11.77,11.77,11.77,11.77,11.59
13 Nov 2024,11.77,11.77,11.77,11.77,11.59
12 Nov 2024,11.86,11.86,11.86,11.86,11.68
11 Nov 2024,12.09,12.09,12.09,12.09,11.91
8 Nov 2024,12.09,12.09,12.09,12.09,11.91
7 Nov 2024,12.24,12.24,12.24,12.24,12.06
6 Nov 2024,12.02,12.02,12.02,12.02,11.84
5 Nov 2024,12.10,12.10,12.10,12.10,11.92
4 Nov 2024,11.96,11.96,11.96,11.96,11.78
1 Nov 2024,11.94,11.94,11.94,11.94,11.76
31 Oct 2024,11.90,11.90,11.90,11.90,11.72
30 Oct 2024,12.02,12.02,12.02,12.02,11.84
29 Oct 2024,12.11,12.11,12.11,12.11,11.93
28 Oct 2024,12.12,12.12,12.12,12.12,11.94
25 Oct 2024,12.07,12.07,12.07,12.07,11.89
24 Oct 2024,12.11,12.11,12.11,12.11,11.93
23 Oct 2024,12.09,12.09,12.09,12.09,11.91
22 Oct 2024,12.19,12.19,12.19,12.19,12.01
21 Oct 2024,12.26,12.26,12.26,12.26,12.08
18 Oct 2024,12.36,12.36,12.36,12.36,12.18
17 Oct 2024,12.24,12.24,12.24,12.24,12.06
16 Oct 2024,12.23,12.23,12.23,12.23,12.05
15 Oct 2024,12.18,12.18,12.18,12.18,12.00
14 Oct 2024,12.40,12.40,12.40,12.40,12.21
11 Oct 2024,12.39,12.39,12.39,12.39,12.20
10 Oct 2024,12.31,12.31,12.31,12.31,12.13
9 Oct 2024,12.33,12.33,12.33,12.33,12.15
8 Oct 2024,12.34,12.34,12.34,12.34,12.16
7 Oct 2024,12.45,12.45,12.45,12.45,12.26
4 Oct 2024,12.47,12.47,12.47,12.47,12.28
3 Oct 2024,12.37,12.37,12.37,12.37,12.19
2 Oct 2024,12.49,12.49,12.49,12.49,12.30
1 Oct 2024,12.40,12.40,12.40,12.40,12.21
30 Sept 2024,12.43,12.43,12.43,12.43,12.24
27 Sept 2024,12.48,12.48,12.48,12.48,12.29
26 Sept 2024,12.55,12.55,12.55,12.55,12.36
25 Sept 2024,12.25,12.25,12.25,12.25,12.07
24 Sept 2024,12.31,12.31,12.31,12.31,12.13
23 Sept 2024,12.13,12.13,12.13,12.13,11.95
20 Sept 2024,12.10,12.10,12.10,12.10,11.92
19 Sept 2024,12.19,12.19,12.19,12.19,12.01
18 Sept 2024,11.93,11.93,11.93,11.93,11.75
17 Sept 2024,11.98,11.98,11.98,11.98,11.80
16 Sept 2024,12.01,12.01,12.01,12.01,11.83
13 Sept 2024,11.94,11.94,11.94,11.94,11.76
12 Sept 2024,11.89,11.89,11.89,11.89,11.71
11 Sept 2024,11.77,11.77,11.77,11.77,11.59
10 Sept 2024,11.68,11.68,11.68,11.68,11.51
9 Sept 2024,11.71,11.71,11.71,11.71,11.53
6 Sept 2024,11.59,11.59,11.59,11.59,11.42
5 Sept 2024,11.81,11.81,11.81,11.81,11.63
4 Sept 2024,11.82,11.82,11.82,11.82,11.64
3 Sept 2024,11.88,11.88,11.88,11.88,11.70
30 Aug 2024,12.12,12.12,12.12,12.12,11.94
29 Aug 2024,12.08,12.08,12.08,12.08,11.90
28 Aug 2024,12.03,12.03,12.03,12.03,11.85
27 Aug 2024,12.08,12.08,12.08,12.08,11.90
26 Aug 2024,12.05,12.05,12.05,12.05,11.87
23 Aug 2024,12.12,12.12,12.12,12.12,11.94
22 Aug 2024,11.94,11.94,11.94,11.94,11.76
21 Aug 2024,12.02,12.02,12.02,12.02,11.84
20 Aug 2024,11.94,11.94,11.94,11.94,11.76
19 Aug 2024,12.01,12.01,12.01,12.01,11.83
16 Aug 2024,11.91,11.91,11.91,11.91,11.73
15 Aug 2024,11.83,11.83,11.83,11.83,11.65
14 Aug 2024,11.67,11.67,11.67,11.67,11.50
13 Aug 2024,11.66,11.66,11.66,11.66,11.49
12 Aug 2024,11.49,11.49,11.49,11.49,11.32
9 Aug 2024,11.48,11.48,11.48,11.48,11.31
8 Aug 2024,11.44,11.44,11.44,11.44,11.27
7 Aug 2024,11.20,11.20,11.20,11.20,11.03
6 Aug 2024,11.19,11.19,11.19,11.19,11.02
5 Aug 2024,11.09,11.09,11.09,11.09,10.92
2 Aug 2024,11.34,11.34,11.34,11.34,11.17
1 Aug 2024,11.58,11.58,11.58,11.58,11.41
31 Jul 2024,11.87,11.87,11.87,11.87,11.69
30 Jul 2024,11.64,11.64,11.64,11.64,11.47
29 Jul 2024,11.65,11.65,11.65,11.65,11.48
26 Jul 2024,11.68,11.68,11.68,11.68,11.51
25 Jul 2024,11.55,11.55,11.55,11.55,11.38
24 Jul 2024,11.65,11.65,11.65,11.65,11.48
23 Jul 2024,11.83,11.83,11.83,11.83,11.65
22 Jul 2024,11.87,11.87,11.87,11.87,11.69
19 Jul 2024,11.77,11.77,11.77,11.77,11.59
18 Jul 2024,11.86,11.86,11.86,11.86,11.68
17 Jul 2024,11.97,11.97,11.97,11.97,11.79
16 Jul 2024,12.11,12.11,12.11,12.11,11.93
15 Jul 2024,12.06,12.06,12.06,12.06,11.88
12 Jul 2024,12.14,12.14,12.14,12.14,11.96
11 Jul 2024,12.04,12.04,12.04,12.04,11.86
10 Jul 2024,11.99,11.99,11.99,11.99,11.81
9 Jul 2024,11.85,11.85,11.85,11.85,11.67
8 Jul 2024,11.87,11.87,11.87,11.87,11.69
5 Jul 2024,11.90,11.90,11.90,11.90,11.72
3 Jul 2024,11.81,11.81,11.81,11.81,11.63
2 Jul 2024,11.67,11.67,11.67,11.67,11.50
1 Jul 2024,11.64,11.64,11.64,11.64,11.47
28 Jun 2024,11.63,11.63,11.63,11.63,11.46
27 Jun 2024,11.63,11.63,11.63,11.63,11.46
26 Jun 2024,11.62,11.62,11.62,11.62,11.45
25 Jun 2024,11.68,11.68,11.68,11.68,11.51
24 Jun 2024,11.66,11.66,11.66,11.66,11.49
21 Jun 2024,11.61,11.61,11.61,11.61,11.44
20 Jun 2024,11.68,11.68,11.68,11.68,11.51
18 Jun 2024,11.65,11.65,11.65,11.65,11.48
17 Jun 2024,11.58,11.58,11.58,11.58,11.41
14 Jun 2024,11.53,11.53,11.53,11.53,11.36
13 Jun 2024,11.61,11.61,11.61,11.61,11.44
12 Jun 2024,11.73,11.73,11.73,11.73,11.55
11 Jun 2024,11.61,11.61,11.61,11.61,11.44
10 Jun 2024,11.71,11.71,11.71,11.71,11.53
7 Jun 2024,11.68,11.68,11.68,11.68,11.51
6 Jun 2024,11.82,11.82,11.82,11.82,11.64
5 Jun 2024,11.77,11.77,11.77,11.77,11.59
4 Jun 2024,11.66,11.66,11.66,11.66,11.49
3 Jun 2024,11.77,11.77,11.77,11.77,11.59
31 May 2024,11.72,11.72,11.72,11.72,11.54
30 May 2024,11.66,11.66,11.66,11.66,11.49
29 May 2024,11.64,11.64,11.64,11.64,11.47
28 May 2024,11.84,11.84,11.84,11.84,11.66
24 May 2024,11.84,11.84,11.84,11.84,11.66
23 May 2024,11.76,11.76,11.76,11.76,11.58
22 May 2024,11.80,11.80,11.80,11.80,11.62
21 May 2024,11.88,11.88,11.88,11.88,11.70
20 May 2024,11.92,11.92,11.92,11.92,11.74
17 May 2024,11.90,11.90,11.90,11.90,11.72
16 May 2024,11.85,11.85,11.85,11.85,11.67
15 May 2024,11.91,11.91,11.91,11.91,11.73
14 May 2024,11.78,11.78,11.78,11.78,11.60
13 May 2024,11.74,11.74,11.74,11.74,11.56
10 May 2024,11.74,11.74,11.74,11.74,11.56
9 May 2024,11.71,11.71,11.71,11.71,11.53
8 May 2024,11.63,11.63,11.63,11.63,11.46
7 May 2024,11.64,11.64,11.64,11.64,11.47
6 May 2024,11.63,11.63,11.63,11.63,11.46
3 May 2024,11.54,11.54,11.54,11.54,11.37
2 May 2024,11.41,11.41,11.41,11.41,11.24
1 May 2024,11.24,11.24,11.24,11.24,11.07
30 Apr 2024,11.25,11.25,11.25,11.25,11.08
29 Apr 2024,11.41,11.41,11.41,11.41,11.24
26 Apr 2024,11.36,11.36,11.36,11.36,11.19
25 Apr 2024,11.28,11.28,11.28,11.28,11.11
24 Apr 2024,11.34,11.34,11.34,11.34,11.17
23 Apr 2024,11.32,11.32,11.32,11.32,11.15
22 Apr 2024,11.18,11.18,11.18,11.18,11.01
19 Apr 2024,11.06,11.06,11.06,11.06,10.89
18 Apr 2024,11.11,11.11,11.11,11.11,10.94
17 Apr 2024,11.12,11.12,11.12,11.12,10.95
16 Apr 2024,11.13,11.13,11.13,11.13,10.96
15 Apr 2024,11.23,11.23,11.23,11.23,11.06
12 Apr 2024,11.30,11.30,11.30,11.30,11.13
11 Apr 2024,11.49,11.49,11.49,11.49,11.32
10 Apr 2024,11.45,11.45,11.45,11.45,11.28
9 Apr 2024,11.56,11.56,11.56,11.56,11.39
8 Apr 2024,11.59,11.59,11.59,11.59,11.42
5 Apr 2024,11.54,11.54,11.54,11.54,11.37
4 Apr 2024,11.47,11.47,11.47,11.47,11.30
3 Apr 2024,11.55,11.55,11.55,11.55,11.38
2 Apr 2024,11.49,11.49,11.49,11.49,11.32
1 Apr 2024,11.50,11.50,11.50,11.50,11.33
28 Mar 2024,11.52,11.52,11.52,11.52,11.35
27 Mar 2024,11.52,11.52,11.52,11.52,11.35
26 Mar 2024,11.48,11.48,11.48,11.48,11.31
25 Mar 2024,11.46,11.46,11.46,11.46,11.29
22 Mar 2024,11.49,11.49,11.49,11.49,11.32
21 Mar 2024,11.53,11.53,11.53,11.53,11.36
20 Mar 2024,11.50,11.50,11.50,11.50,11.33
19 Mar 2024,11.37,11.37,11.37,11.37,11.20
18 Mar 2024,11.36,11.36,11.36,11.36,11.19
15 Mar 2024,11.33,11.33,11.33,11.33,11.16
14 Mar 2024,11.36,11.36,11.36,11.36,11.19
13 Mar 2024,11.43,11.43,11.43,11.43,11.26
12 Mar 2024,11.43,11.43,11.43,11.43,11.26
11 Mar 2024,11.30,11.30,11.30,11.30,11.13
8 Mar 2024,11.35,11.35,11.35,11.35,11.18
7 Mar 2024,11.41,11.41,11.41,11.41,11.24
6 Mar 2024,11.29,11.29,11.29,11.29,11.12
5 Mar 2024,11.17,11.17,11.17,11.17,11.00
4 Mar 2024,11.22,11.22,11.22,11.22,11.05
1 Mar 2024,11.20,11.20,11.20,11.20,11.03
29 Feb 2024,11.06,11.06,11.06,11.06,10.89
28 Feb 2024,11.04,11.04,11.04,11.04,10.87
27 Feb 2024,11.10,11.10,11.10,11.10,10.93
