Date,Open,High,Low,Close,Adj Close
29 Nov 2024,54.88,54.88,54.88,54.88,52.68
27 Nov 2024,54.62,54.62,54.62,54.62,52.43
26 Nov 2024,54.79,54.79,54.79,54.79,52.59
25 Nov 2024,54.67,54.67,54.67,54.67,52.48
22 Nov 2024,54.33,54.33,54.33,54.33,52.15
21 Nov 2024,53.99,53.99,53.99,53.99,51.83
20 Nov 2024,53.56,53.56,53.56,53.56,51.41
19 Nov 2024,53.50,53.50,53.50,53.50,51.36
18 Nov 2024,53.20,53.20,53.20,53.20,51.07
15 Nov 2024,52.96,52.96,52.96,52.96,50.84
14 Nov 2024,53.76,53.76,53.76,53.76,51.61
13 Nov 2024,54.20,54.20,54.20,54.20,52.03
12 Nov 2024,54.25,54.25,54.25,54.25,52.08
11 Nov 2024,54.43,54.43,54.43,54.43,52.25
8 Nov 2024,54.16,54.16,54.16,54.16,51.99
7 Nov 2024,54.03,54.03,54.03,54.03,51.86
6 Nov 2024,53.69,53.69,53.69,53.69,51.54
5 Nov 2024,52.18,52.18,52.18,52.18,50.09
4 Nov 2024,51.55,51.55,51.55,51.55,49.48
1 Nov 2024,51.63,51.63,51.63,51.63,49.56
31 Oct 2024,51.39,51.39,51.39,51.39,49.33
30 Oct 2024,52.41,52.41,52.41,52.41,50.31
29 Oct 2024,52.55,52.55,52.55,52.55,50.44
28 Oct 2024,52.42,52.42,52.42,52.42,50.32
25 Oct 2024,52.20,52.20,52.20,52.20,50.11
24 Oct 2024,52.21,52.21,52.21,52.21,50.12
23 Oct 2024,52.04,52.04,52.04,52.04,49.95
22 Oct 2024,52.54,52.54,52.54,52.54,50.43
21 Oct 2024,52.63,52.63,52.63,52.63,50.52
18 Oct 2024,52.84,52.84,52.84,52.84,50.72
17 Oct 2024,52.64,52.64,52.64,52.64,50.53
16 Oct 2024,52.63,52.63,52.63,52.63,50.52
15 Oct 2024,52.36,52.36,52.36,52.36,50.26
14 Oct 2024,52.77,52.77,52.77,52.77,50.66
11 Oct 2024,52.42,52.42,52.42,52.42,50.32
10 Oct 2024,51.96,51.96,51.96,51.96,49.88
9 Oct 2024,52.04,52.04,52.04,52.04,49.95
8 Oct 2024,51.67,51.67,51.67,51.67,49.60
7 Oct 2024,51.26,51.26,51.26,51.26,49.21
4 Oct 2024,51.77,51.77,51.77,51.77,49.70
3 Oct 2024,51.20,51.20,51.20,51.20,49.15
2 Oct 2024,51.36,51.36,51.36,51.36,49.30
1 Oct 2024,51.35,51.35,51.35,51.35,49.29
30 Sept 2024,51.86,51.86,51.86,51.86,49.78
27 Sept 2024,51.75,51.75,51.75,51.75,49.68
26 Sept 2024,51.80,51.80,51.80,51.80,49.72
25 Sept 2024,51.57,51.57,51.57,51.57,49.50
