Date,Open,High,Low,Close,Adj Close
29 Nov 2024,37.20,37.20,37.20,37.20,36.60
27 Nov 2024,36.86,36.86,36.86,36.86,36.27
26 Nov 2024,36.73,36.73,36.73,36.73,36.14
25 Nov 2024,36.92,36.92,36.92,36.92,36.33
22 Nov 2024,36.79,36.79,36.79,36.79,36.20
21 Nov 2024,36.71,36.71,36.71,36.71,36.12
20 Nov 2024,36.68,36.68,36.68,36.68,36.09
19 Nov 2024,36.80,36.80,36.80,36.80,36.21
18 Nov 2024,36.79,36.79,36.79,36.79,36.20
15 Nov 2024,36.47,36.47,36.47,36.47,35.88
14 Nov 2024,36.65,36.65,36.65,36.65,36.06
13 Nov 2024,36.67,36.67,36.67,36.67,36.08
12 Nov 2024,36.93,36.93,36.93,36.93,36.34
11 Nov 2024,37.52,37.52,37.52,37.52,36.92
8 Nov 2024,37.59,37.59,37.59,37.59,36.99
7 Nov 2024,38.11,38.11,38.11,38.11,37.50
6 Nov 2024,37.57,37.57,37.57,37.57,36.97
5 Nov 2024,37.96,37.96,37.96,37.96,37.35
4 Nov 2024,37.53,37.53,37.53,37.53,36.93
1 Nov 2024,37.44,37.44,37.44,37.44,36.84
31 Oct 2024,37.31,37.31,37.31,37.31,36.71
30 Oct 2024,37.63,37.63,37.63,37.63,37.03
29 Oct 2024,37.87,37.87,37.87,37.87,37.26
28 Oct 2024,37.95,37.95,37.95,37.95,37.34
25 Oct 2024,37.72,37.72,37.72,37.72,37.11
24 Oct 2024,37.81,37.81,37.81,37.81,37.20
23 Oct 2024,37.74,37.74,37.74,37.74,37.13
22 Oct 2024,38.05,38.05,38.05,38.05,37.44
21 Oct 2024,38.26,38.26,38.26,38.26,37.65
18 Oct 2024,38.61,38.61,38.61,38.61,37.99
17 Oct 2024,38.31,38.31,38.31,38.31,37.69
16 Oct 2024,38.35,38.35,38.35,38.35,37.73
15 Oct 2024,38.15,38.15,38.15,38.15,37.54
14 Oct 2024,38.85,38.85,38.85,38.85,38.23
11 Oct 2024,38.80,38.80,38.80,38.80,38.18
10 Oct 2024,38.61,38.61,38.61,38.61,37.99
9 Oct 2024,38.65,38.65,38.65,38.65,38.03
8 Oct 2024,38.70,38.70,38.70,38.70,38.08
7 Oct 2024,38.99,38.99,38.99,38.99,38.36
4 Oct 2024,39.12,39.12,39.12,39.12,38.49
3 Oct 2024,38.84,38.84,38.84,38.84,38.22
2 Oct 2024,39.23,39.23,39.23,39.23,38.60
1 Oct 2024,39.11,39.11,39.11,39.11,38.48
30 Sept 2024,39.19,39.19,39.19,39.19,38.56
27 Sept 2024,39.32,39.32,39.32,39.32,38.69
26 Sept 2024,39.53,39.53,39.53,39.53,38.89
25 Sept 2024,38.58,38.58,38.58,38.58,37.96
24 Sept 2024,38.77,38.77,38.77,38.77,38.15
23 Sept 2024,38.32,38.32,38.32,38.32,37.70
20 Sept 2024,38.14,38.14,38.14,38.14,37.53
19 Sept 2024,38.58,38.58,38.58,38.58,37.81
18 Sept 2024,37.80,37.80,37.80,37.80,37.05
17 Sept 2024,37.93,37.93,37.93,37.93,37.18
16 Sept 2024,38.02,38.02,38.02,38.02,37.26
13 Sept 2024,37.80,37.80,37.80,37.80,37.05
12 Sept 2024,37.73,37.73,37.73,37.73,36.98
11 Sept 2024,37.38,37.38,37.38,37.38,36.64
10 Sept 2024,37.17,37.17,37.17,37.17,36.43
9 Sept 2024,37.32,37.32,37.32,37.32,36.58
6 Sept 2024,36.98,36.98,36.98,36.98,36.24
5 Sept 2024,37.64,37.64,37.64,37.64,36.89
4 Sept 2024,37.57,37.57,37.57,37.57,36.82
3 Sept 2024,37.69,37.69,37.69,37.69,36.94
30 Aug 2024,38.37,38.37,38.37,38.37,37.61
29 Aug 2024,38.26,38.26,38.26,38.26,37.50
28 Aug 2024,38.10,38.10,38.10,38.10,37.34
27 Aug 2024,38.30,38.30,38.30,38.30,37.54
26 Aug 2024,38.15,38.15,38.15,38.15,37.39
23 Aug 2024,38.31,38.31,38.31,38.31,37.55
22 Aug 2024,37.73,37.73,37.73,37.73,36.98
21 Aug 2024,37.98,37.98,37.98,37.98,37.22
20 Aug 2024,37.71,37.71,37.71,37.71,36.96
19 Aug 2024,37.91,37.91,37.91,37.91,37.16
16 Aug 2024,37.50,37.50,37.50,37.50,36.75
15 Aug 2024,37.23,37.23,37.23,37.23,36.49
14 Aug 2024,36.79,36.79,36.79,36.79,36.06
13 Aug 2024,36.75,36.75,36.75,36.75,36.02
12 Aug 2024,36.22,36.22,36.22,36.22,35.50
9 Aug 2024,36.20,36.20,36.20,36.20,35.48
8 Aug 2024,36.09,36.09,36.09,36.09,35.37
7 Aug 2024,35.45,35.45,35.45,35.45,34.74
6 Aug 2024,35.31,35.31,35.31,35.31,34.61
5 Aug 2024,35.11,35.11,35.11,35.11,34.41
2 Aug 2024,35.98,35.98,35.98,35.98,35.26
1 Aug 2024,36.60,36.60,36.60,36.60,35.87
31 Jul 2024,37.42,37.42,37.42,37.42,36.68
30 Jul 2024,36.78,36.78,36.78,36.78,36.05
29 Jul 2024,36.80,36.80,36.80,36.80,36.07
26 Jul 2024,36.90,36.90,36.90,36.90,36.17
25 Jul 2024,36.51,36.51,36.51,36.51,35.78
24 Jul 2024,36.70,36.70,36.70,36.70,35.97
23 Jul 2024,37.17,37.17,37.17,37.17,36.43
22 Jul 2024,37.35,37.35,37.35,37.35,36.61
19 Jul 2024,37.02,37.02,37.02,37.02,36.28
18 Jul 2024,37.29,37.29,37.29,37.29,36.55
