Date,Open,High,Low,Close,Adj Close
29 Nov 2024,70.91,70.91,70.91,70.91,64.02
27 Nov 2024,70.53,70.53,70.53,70.53,63.68
26 Nov 2024,70.85,70.85,70.85,70.85,63.97
25 Nov 2024,70.35,70.35,70.35,70.35,63.52
22 Nov 2024,70.17,70.17,70.17,70.17,63.36
21 Nov 2024,69.96,69.96,69.96,69.96,63.17
20 Nov 2024,69.53,69.53,69.53,69.53,62.78
19 Nov 2024,69.56,69.56,69.56,69.56,62.81
18 Nov 2024,69.12,69.12,69.12,69.12,62.41
15 Nov 2024,68.87,68.87,68.87,68.87,62.18
14 Nov 2024,69.87,69.87,69.87,69.87,63.09
13 Nov 2024,70.30,70.30,70.30,70.30,63.47
12 Nov 2024,70.38,70.38,70.38,70.38,63.55
11 Nov 2024,70.52,70.52,70.52,70.52,63.67
8 Nov 2024,70.45,70.45,70.45,70.45,63.61
7 Nov 2024,70.27,70.27,70.27,70.27,63.45
6 Nov 2024,69.70,69.70,69.70,69.70,62.93
5 Nov 2024,67.92,67.92,67.92,67.92,61.32
4 Nov 2024,67.06,67.06,67.06,67.06,60.55
1 Nov 2024,67.24,67.24,67.24,67.24,60.71
31 Oct 2024,66.97,66.97,66.97,66.97,60.47
30 Oct 2024,68.27,68.27,68.27,68.27,61.64
29 Oct 2024,68.46,68.46,68.46,68.46,61.81
28 Oct 2024,68.27,68.27,68.27,68.27,61.64
25 Oct 2024,68.08,68.08,68.08,68.08,61.47
24 Oct 2024,68.11,68.11,68.11,68.11,61.50
23 Oct 2024,67.93,67.93,67.93,67.93,61.33
22 Oct 2024,68.61,68.61,68.61,68.61,61.95
21 Oct 2024,68.69,68.69,68.69,68.69,62.02
18 Oct 2024,68.80,68.80,68.80,68.80,62.12
17 Oct 2024,68.51,68.51,68.51,68.51,61.86
16 Oct 2024,68.44,68.44,68.44,68.44,61.79
15 Oct 2024,68.10,68.10,68.10,68.10,61.49
14 Oct 2024,68.59,68.59,68.59,68.59,61.93
11 Oct 2024,68.08,68.08,68.08,68.08,61.47
10 Oct 2024,67.58,67.58,67.58,67.58,61.02
9 Oct 2024,67.65,67.65,67.65,67.65,61.08
8 Oct 2024,67.13,67.13,67.13,67.13,60.61
7 Oct 2024,66.46,66.46,66.46,66.46,60.01
4 Oct 2024,67.10,67.10,67.10,67.10,60.58
3 Oct 2024,66.45,66.45,66.45,66.45,60.00
2 Oct 2024,66.59,66.59,66.59,66.59,60.12
1 Oct 2024,66.54,66.54,66.54,66.54,60.08
30 Sept 2024,67.17,67.17,67.17,67.17,60.65
27 Sept 2024,66.96,66.96,66.96,66.96,60.46
26 Sept 2024,67.12,67.12,67.12,67.12,60.60
25 Sept 2024,66.93,66.93,66.93,66.93,60.43
24 Sept 2024,67.01,67.01,67.01,67.01,60.50
23 Sept 2024,66.79,66.79,66.79,66.79,60.30
20 Sept 2024,66.66,66.66,66.66,66.66,60.19
19 Sept 2024,66.74,66.74,66.74,66.74,60.26
18 Sept 2024,65.59,65.59,65.59,65.59,59.22
17 Sept 2024,65.80,65.80,65.80,65.80,59.41
16 Sept 2024,65.78,65.78,65.78,65.78,59.39
13 Sept 2024,65.71,65.71,65.71,65.71,59.33
12 Sept 2024,65.30,65.30,65.30,65.30,58.96
11 Sept 2024,64.81,64.81,64.81,64.81,58.52
10 Sept 2024,64.01,64.01,64.01,64.01,57.79
9 Sept 2024,63.76,63.76,63.76,63.76,57.57
6 Sept 2024,63.06,63.06,63.06,63.06,56.94
5 Sept 2024,64.28,64.28,64.28,64.28,58.04
4 Sept 2024,64.38,64.38,64.38,64.38,58.13
3 Sept 2024,64.54,64.54,64.54,64.54,58.27
30 Aug 2024,66.04,66.04,66.04,66.04,59.63
29 Aug 2024,65.33,65.33,65.33,65.33,58.99
28 Aug 2024,65.37,65.37,65.37,65.37,59.02
27 Aug 2024,65.78,65.78,65.78,65.78,59.39
26 Aug 2024,65.64,65.64,65.64,65.64,59.27
23 Aug 2024,65.88,65.88,65.88,65.88,59.48
22 Aug 2024,65.10,65.10,65.10,65.10,58.78
21 Aug 2024,65.71,65.71,65.71,65.71,59.33
20 Aug 2024,65.38,65.38,65.38,65.38,59.03
19 Aug 2024,65.54,65.54,65.54,65.54,59.18
16 Aug 2024,64.88,64.88,64.88,64.88,58.58
15 Aug 2024,64.76,64.76,64.76,64.76,58.47
14 Aug 2024,63.60,63.60,63.60,63.60,57.42
13 Aug 2024,63.35,63.35,63.35,63.35,57.20
12 Aug 2024,62.28,62.28,62.28,62.28,56.23
9 Aug 2024,62.23,62.23,62.23,62.23,56.19
8 Aug 2024,61.84,61.84,61.84,61.84,55.84
7 Aug 2024,60.37,60.37,60.37,60.37,54.51
6 Aug 2024,60.86,60.86,60.86,60.86,54.95
5 Aug 2024,60.21,60.21,60.21,60.21,54.36
2 Aug 2024,62.07,62.07,62.07,62.07,56.04
1 Aug 2024,63.50,63.50,63.50,63.50,57.33
31 Jul 2024,64.52,64.52,64.52,64.52,58.25
30 Jul 2024,63.45,63.45,63.45,63.45,57.29
29 Jul 2024,63.90,63.90,63.90,63.90,57.70
26 Jul 2024,63.85,63.85,63.85,63.85,57.65
25 Jul 2024,63.19,63.19,63.19,63.19,57.05
24 Jul 2024,63.56,63.56,63.56,63.56,57.39
23 Jul 2024,65.22,65.22,65.22,65.22,58.89
22 Jul 2024,65.28,65.28,65.28,65.28,58.94
19 Jul 2024,64.53,64.53,64.53,64.53,58.26
18 Jul 2024,64.98,64.98,64.98,64.98,58.67
17 Jul 2024,65.49,65.49,65.49,65.49,59.13
16 Jul 2024,66.61,66.61,66.61,66.61,60.14
15 Jul 2024,66.18,66.18,66.18,66.18,59.75
12 Jul 2024,66.01,66.01,66.01,66.01,59.60
11 Jul 2024,65.68,65.68,65.68,65.68,59.30
10 Jul 2024,66.27,66.27,66.27,66.27,59.83
9 Jul 2024,65.59,65.59,65.59,65.59,59.22
8 Jul 2024,65.58,65.58,65.58,65.58,59.21
5 Jul 2024,65.56,65.56,65.56,65.56,59.19
3 Jul 2024,65.22,65.22,65.22,65.22,58.89
2 Jul 2024,64.93,64.93,64.93,64.93,58.63
1 Jul 2024,64.59,64.59,64.59,64.59,58.32
28 Jun 2024,64.41,64.41,64.41,64.41,58.16
27 Jun 2024,64.67,64.67,64.67,64.67,58.39
26 Jun 2024,64.90,64.90,64.90,64.90,58.34
25 Jun 2024,64.77,64.77,64.77,64.77,58.23
