Date,Open,High,Low,Close,Adj Close
29 Nov 2024,33.08,33.08,33.08,33.08,32.53
27 Nov 2024,32.77,32.77,32.77,32.77,32.22
26 Nov 2024,32.66,32.66,32.66,32.66,32.11
25 Nov 2024,32.83,32.83,32.83,32.83,32.28
22 Nov 2024,32.70,32.70,32.70,32.70,32.15
21 Nov 2024,32.63,32.63,32.63,32.63,32.08
20 Nov 2024,32.60,32.60,32.60,32.60,32.06
19 Nov 2024,32.70,32.70,32.70,32.70,32.15
18 Nov 2024,32.68,32.68,32.68,32.68,32.13
15 Nov 2024,32.41,32.41,32.41,32.41,31.87
14 Nov 2024,32.57,32.57,32.57,32.57,32.03
13 Nov 2024,32.59,32.59,32.59,32.59,32.05
12 Nov 2024,32.82,32.82,32.82,32.82,32.27
11 Nov 2024,33.35,33.35,33.35,33.35,32.79
8 Nov 2024,33.41,33.41,33.41,33.41,32.85
7 Nov 2024,33.86,33.86,33.86,33.86,33.29
6 Nov 2024,33.38,33.38,33.38,33.38,32.82
5 Nov 2024,33.72,33.72,33.72,33.72,33.16
4 Nov 2024,33.34,33.34,33.34,33.34,32.78
1 Nov 2024,33.27,33.27,33.27,33.27,32.71
31 Oct 2024,33.16,33.16,33.16,33.16,32.61
30 Oct 2024,33.43,33.43,33.43,33.43,32.87
29 Oct 2024,33.63,33.63,33.63,33.63,33.07
28 Oct 2024,33.70,33.70,33.70,33.70,33.14
25 Oct 2024,33.51,33.51,33.51,33.51,32.95
24 Oct 2024,33.59,33.59,33.59,33.59,33.03
23 Oct 2024,33.54,33.54,33.54,33.54,32.98
22 Oct 2024,33.81,33.81,33.81,33.81,33.25
21 Oct 2024,34.00,34.00,34.00,34.00,33.43
18 Oct 2024,34.30,34.30,34.30,34.30,33.73
17 Oct 2024,34.04,34.04,34.04,34.04,33.47
16 Oct 2024,34.08,34.08,34.08,34.08,33.51
15 Oct 2024,33.91,33.91,33.91,33.91,33.34
14 Oct 2024,34.49,34.49,34.49,34.49,33.91
11 Oct 2024,34.44,34.44,34.44,34.44,33.86
10 Oct 2024,34.28,34.28,34.28,34.28,33.71
9 Oct 2024,34.30,34.30,34.30,34.30,33.73
8 Oct 2024,34.35,34.35,34.35,34.35,33.78
7 Oct 2024,34.60,34.60,34.60,34.60,34.02
4 Oct 2024,34.72,34.72,34.72,34.72,34.14
3 Oct 2024,34.48,34.48,34.48,34.48,33.90
2 Oct 2024,34.82,34.82,34.82,34.82,34.24
1 Oct 2024,34.73,34.73,34.73,34.73,34.15
30 Sept 2024,34.81,34.81,34.81,34.81,34.23
27 Sept 2024,34.90,34.90,34.90,34.90,34.32
26 Sept 2024,35.08,35.08,35.08,35.08,34.49
25 Sept 2024,34.25,34.25,34.25,34.25,33.68
24 Sept 2024,34.43,34.43,34.43,34.43,33.85
23 Sept 2024,34.04,34.04,34.04,34.04,33.47
20 Sept 2024,33.89,33.89,33.89,33.89,33.32
19 Sept 2024,34.28,34.28,34.28,34.28,33.57
18 Sept 2024,33.59,33.59,33.59,33.59,32.89
17 Sept 2024,33.71,33.71,33.71,33.71,33.01
16 Sept 2024,33.78,33.78,33.78,33.78,33.08
13 Sept 2024,33.59,33.59,33.59,33.59,32.89
12 Sept 2024,33.51,33.51,33.51,33.51,32.81
11 Sept 2024,33.19,33.19,33.19,33.19,32.50
10 Sept 2024,33.02,33.02,33.02,33.02,32.33
9 Sept 2024,33.13,33.13,33.13,33.13,32.44
6 Sept 2024,32.84,32.84,32.84,32.84,32.16
5 Sept 2024,33.43,33.43,33.43,33.43,32.73
4 Sept 2024,33.36,33.36,33.36,33.36,32.67
3 Sept 2024,33.46,33.46,33.46,33.46,32.76
30 Aug 2024,34.08,34.08,34.08,34.08,33.37
29 Aug 2024,33.97,33.97,33.97,33.97,33.26
28 Aug 2024,33.84,33.84,33.84,33.84,33.14
27 Aug 2024,34.03,34.03,34.03,34.03,33.32
26 Aug 2024,33.89,33.89,33.89,33.89,33.18
23 Aug 2024,34.02,34.02,34.02,34.02,33.31
22 Aug 2024,33.51,33.51,33.51,33.51,32.81
21 Aug 2024,33.74,33.74,33.74,33.74,33.04
20 Aug 2024,33.50,33.50,33.50,33.50,32.80
19 Aug 2024,33.65,33.65,33.65,33.65,32.95
16 Aug 2024,33.29,33.29,33.29,33.29,32.60
15 Aug 2024,33.05,33.05,33.05,33.05,32.36
14 Aug 2024,32.67,32.67,32.67,32.67,31.99
13 Aug 2024,32.63,32.63,32.63,32.63,31.95
12 Aug 2024,32.17,32.17,32.17,32.17,31.50
9 Aug 2024,32.14,32.14,32.14,32.14,31.47
8 Aug 2024,32.04,32.04,32.04,32.04,31.37
7 Aug 2024,31.49,31.49,31.49,31.49,30.83
6 Aug 2024,31.37,31.37,31.37,31.37,30.72
5 Aug 2024,31.17,31.17,31.17,31.17,30.52
2 Aug 2024,31.98,31.98,31.98,31.98,31.31
1 Aug 2024,32.54,32.54,32.54,32.54,31.86
31 Jul 2024,33.26,33.26,33.26,33.26,32.57
30 Jul 2024,32.70,32.70,32.70,32.70,32.02
29 Jul 2024,32.70,32.70,32.70,32.70,32.02
26 Jul 2024,32.80,32.80,32.80,32.80,32.12
25 Jul 2024,32.45,32.45,32.45,32.45,31.77
24 Jul 2024,32.62,32.62,32.62,32.62,31.94
23 Jul 2024,33.02,33.02,33.02,33.02,32.33
22 Jul 2024,33.17,33.17,33.17,33.17,32.48
19 Jul 2024,32.90,32.90,32.90,32.90,32.22
18 Jul 2024,33.14,33.14,33.14,33.14,32.45
17 Jul 2024,33.39,33.39,33.39,33.39,32.70
16 Jul 2024,33.65,33.65,33.65,33.65,32.95
15 Jul 2024,33.50,33.50,33.50,33.50,32.80
12 Jul 2024,33.75,33.75,33.75,33.75,33.05
11 Jul 2024,33.45,33.45,33.45,33.45,32.75
10 Jul 2024,33.31,33.31,33.31,33.31,32.62
9 Jul 2024,32.96,32.96,32.96,32.96,32.27
8 Jul 2024,32.99,32.99,32.99,32.99,32.30
5 Jul 2024,32.88,32.88,32.88,32.88,32.20
3 Jul 2024,32.88,32.88,32.88,32.88,32.20
2 Jul 2024,32.54,32.54,32.54,32.54,31.86
1 Jul 2024,32.43,32.43,32.43,32.43,31.76
28 Jun 2024,32.36,32.36,32.36,32.36,31.69
27 Jun 2024,32.37,32.37,32.37,32.37,31.70
26 Jun 2024,32.33,32.33,32.33,32.33,31.66
25 Jun 2024,32.52,32.52,32.52,32.52,31.84
24 Jun 2024,32.44,32.44,32.44,32.44,31.76
21 Jun 2024,32.27,32.27,32.27,32.27,31.60
20 Jun 2024,32.72,32.72,32.72,32.72,31.79
18 Jun 2024,32.70,32.70,32.70,32.70,31.77
17 Jun 2024,32.55,32.55,32.55,32.55,31.62
14 Jun 2024,32.45,32.45,32.45,32.45,31.53
13 Jun 2024,32.66,32.66,32.66,32.66,31.73
12 Jun 2024,32.98,32.98,32.98,32.98,32.04
11 Jun 2024,32.67,32.67,32.67,32.67,31.74
10 Jun 2024,32.98,32.98,32.98,32.98,32.04
7 Jun 2024,32.89,32.89,32.89,32.89,31.95
6 Jun 2024,33.21,33.21,33.21,33.21,32.26
5 Jun 2024,33.13,33.13,33.13,33.13,32.19
4 Jun 2024,32.84,32.84,32.84,32.84,31.90
3 Jun 2024,33.06,33.06,33.06,33.06,32.12
31 May 2024,32.90,32.90,32.90,32.90,31.96
30 May 2024,32.71,32.71,32.71,32.71,31.78
29 May 2024,32.56,32.56,32.56,32.56,31.63
28 May 2024,33.08,33.08,33.08,33.08,32.14
24 May 2024,33.08,33.08,33.08,33.08,32.14
23 May 2024,32.89,32.89,32.89,32.89,31.95
22 May 2024,33.07,33.07,33.07,33.07,32.13
21 May 2024,33.30,33.30,33.30,33.30,32.35
20 May 2024,33.43,33.43,33.43,33.43,32.48
17 May 2024,33.40,33.40,33.40,33.40,32.45
16 May 2024,33.26,33.26,33.26,33.26,32.31
15 May 2024,33.31,33.31,33.31,33.31,32.36
14 May 2024,33.03,33.03,33.03,33.03,32.09
13 May 2024,32.84,32.84,32.84,32.84,31.90
10 May 2024,32.79,32.79,32.79,32.79,31.86
9 May 2024,32.70,32.70,32.70,32.70,31.77
8 May 2024,32.53,32.53,32.53,32.53,31.60
7 May 2024,32.57,32.57,32.57,32.57,31.64
6 May 2024,32.59,32.59,32.59,32.59,31.66
3 May 2024,32.39,32.39,32.39,32.39,31.47
2 May 2024,32.12,32.12,32.12,32.12,31.20
1 May 2024,31.60,31.60,31.60,31.60,30.70
30 Apr 2024,31.63,31.63,31.63,31.63,30.73
29 Apr 2024,32.04,32.04,32.04,32.04,31.13
26 Apr 2024,31.83,31.83,31.83,31.83,30.92
25 Apr 2024,31.61,31.61,31.61,31.61,30.71
24 Apr 2024,31.70,31.70,31.70,31.70,30.80
23 Apr 2024,31.70,31.70,31.70,31.70,30.80
22 Apr 2024,31.39,31.39,31.39,31.39,30.50
19 Apr 2024,31.02,31.02,31.02,31.02,30.14
18 Apr 2024,31.12,31.12,31.12,31.12,30.23
17 Apr 2024,31.09,31.09,31.09,31.09,30.20
16 Apr 2024,31.11,31.11,31.11,31.11,30.22
15 Apr 2024,31.46,31.46,31.46,31.46,30.56
12 Apr 2024,31.62,31.62,31.62,31.62,30.72
11 Apr 2024,32.16,32.16,32.16,32.16,31.24
10 Apr 2024,32.09,32.09,32.09,32.09,31.18
9 Apr 2024,32.45,32.45,32.45,32.45,31.53
8 Apr 2024,32.39,32.39,32.39,32.39,31.47
5 Apr 2024,32.25,32.25,32.25,32.25,31.33
4 Apr 2024,32.14,32.14,32.14,32.14,31.22
3 Apr 2024,32.33,32.33,32.33,32.33,31.41
2 Apr 2024,32.17,32.17,32.17,32.17,31.25
1 Apr 2024,32.26,32.26,32.26,32.26,31.34
28 Mar 2024,32.36,32.36,32.36,32.36,31.44
27 Mar 2024,32.39,32.39,32.39,32.39,31.47
26 Mar 2024,32.22,32.22,32.22,32.22,31.30
25 Mar 2024,32.20,32.20,32.20,32.20,31.28
