Date,Open,High,Low,Close,Adj Close
29 Nov 2024,16.14,16.14,16.14,16.14,15.90
27 Nov 2024,15.95,15.95,15.95,15.95,15.72
26 Nov 2024,15.88,15.88,15.88,15.88,15.65
25 Nov 2024,15.97,15.97,15.97,15.97,15.74
22 Nov 2024,15.89,15.89,15.89,15.89,15.66
21 Nov 2024,15.84,15.84,15.84,15.84,15.61
20 Nov 2024,15.78,15.78,15.78,15.78,15.55
19 Nov 2024,15.85,15.85,15.85,15.85,15.62
18 Nov 2024,15.86,15.86,15.86,15.86,15.63
15 Nov 2024,15.73,15.73,15.73,15.73,15.50
14 Nov 2024,15.80,15.80,15.80,15.80,15.57
13 Nov 2024,15.79,15.79,15.79,15.79,15.56
12 Nov 2024,15.90,15.90,15.90,15.90,15.67
11 Nov 2024,16.14,16.14,16.14,16.14,15.90
8 Nov 2024,16.15,16.15,16.15,16.15,15.91
7 Nov 2024,16.35,16.35,16.35,16.35,16.11
6 Nov 2024,16.11,16.11,16.11,16.11,15.87
5 Nov 2024,16.30,16.30,16.30,16.30,16.06
4 Nov 2024,16.15,16.15,16.15,16.15,15.91
1 Nov 2024,16.11,16.11,16.11,16.11,15.87
31 Oct 2024,16.07,16.07,16.07,16.07,15.83
30 Oct 2024,16.22,16.22,16.22,16.22,15.98
29 Oct 2024,16.30,16.30,16.30,16.30,16.06
28 Oct 2024,16.33,16.33,16.33,16.33,16.09
25 Oct 2024,16.22,16.22,16.22,16.22,15.98
24 Oct 2024,16.28,16.28,16.28,16.28,16.04
23 Oct 2024,16.22,16.22,16.22,16.22,15.98
22 Oct 2024,16.37,16.37,16.37,16.37,16.13
21 Oct 2024,16.47,16.47,16.47,16.47,16.23
18 Oct 2024,16.64,16.64,16.64,16.64,16.40
17 Oct 2024,16.56,16.56,16.56,16.56,16.32
16 Oct 2024,16.55,16.55,16.55,16.55,16.31
15 Oct 2024,16.48,16.48,16.48,16.48,16.24
14 Oct 2024,16.74,16.74,16.74,16.74,16.49
11 Oct 2024,16.70,16.70,16.70,16.70,16.45
10 Oct 2024,16.62,16.62,16.62,16.62,16.38
9 Oct 2024,16.66,16.66,16.66,16.66,16.42
8 Oct 2024,16.64,16.64,16.64,16.64,16.40
7 Oct 2024,16.67,16.67,16.67,16.67,16.42
4 Oct 2024,16.77,16.77,16.77,16.77,16.52
3 Oct 2024,16.68,16.68,16.68,16.68,16.43
2 Oct 2024,16.84,16.84,16.84,16.84,16.59
1 Oct 2024,16.87,16.87,16.87,16.87,16.62
30 Sept 2024,16.97,16.97,16.97,16.97,16.72
27 Sept 2024,17.02,17.02,17.02,17.02,16.77
26 Sept 2024,17.15,17.15,17.15,17.15,16.90
25 Sept 2024,16.75,16.75,16.75,16.75,16.50
24 Sept 2024,16.86,16.86,16.86,16.86,16.61
23 Sept 2024,16.76,16.76,16.76,16.76,16.51
20 Sept 2024,16.70,16.70,16.70,16.70,16.45
19 Sept 2024,16.90,16.90,16.90,16.90,16.61
18 Sept 2024,16.56,16.56,16.56,16.56,16.27
17 Sept 2024,16.61,16.61,16.61,16.61,16.32
16 Sept 2024,16.68,16.68,16.68,16.68,16.39
13 Sept 2024,16.57,16.57,16.57,16.57,16.28
12 Sept 2024,16.53,16.53,16.53,16.53,16.24
11 Sept 2024,16.37,16.37,16.37,16.37,16.09
10 Sept 2024,16.28,16.28,16.28,16.28,16.00
9 Sept 2024,16.34,16.34,16.34,16.34,16.06
6 Sept 2024,16.19,16.19,16.19,16.19,15.91
5 Sept 2024,16.50,16.50,16.50,16.50,16.21
4 Sept 2024,16.47,16.47,16.47,16.47,16.18
3 Sept 2024,16.53,16.53,16.53,16.53,16.24
30 Aug 2024,16.85,16.85,16.85,16.85,16.56
29 Aug 2024,16.80,16.80,16.80,16.80,16.51
28 Aug 2024,16.73,16.73,16.73,16.73,16.44
27 Aug 2024,16.82,16.82,16.82,16.82,16.53
26 Aug 2024,16.74,16.74,16.74,16.74,16.45
23 Aug 2024,16.80,16.80,16.80,16.80,16.51
22 Aug 2024,16.52,16.52,16.52,16.52,16.23
21 Aug 2024,16.61,16.61,16.61,16.61,16.32
20 Aug 2024,16.48,16.48,16.48,16.48,16.19
19 Aug 2024,16.53,16.53,16.53,16.53,16.24
16 Aug 2024,16.33,16.33,16.33,16.33,16.05
15 Aug 2024,16.22,16.22,16.22,16.22,15.94
14 Aug 2024,16.02,16.02,16.02,16.02,15.74
13 Aug 2024,15.97,15.97,15.97,15.97,15.69
12 Aug 2024,15.71,15.71,15.71,15.71,15.44
9 Aug 2024,15.71,15.71,15.71,15.71,15.44
8 Aug 2024,15.66,15.66,15.66,15.66,15.39
7 Aug 2024,15.40,15.40,15.40,15.40,15.13
6 Aug 2024,15.37,15.37,15.37,15.37,15.10
5 Aug 2024,15.28,15.28,15.28,15.28,15.01
2 Aug 2024,15.68,15.68,15.68,15.68,15.41
1 Aug 2024,15.97,15.97,15.97,15.97,15.69
31 Jul 2024,16.38,16.38,16.38,16.38,16.10
30 Jul 2024,16.10,16.10,16.10,16.10,15.82
29 Jul 2024,16.09,16.09,16.09,16.09,15.81
26 Jul 2024,16.13,16.13,16.13,16.13,15.85
25 Jul 2024,15.95,15.95,15.95,15.95,15.67
24 Jul 2024,16.05,16.05,16.05,16.05,15.77
23 Jul 2024,16.25,16.25,16.25,16.25,15.97
22 Jul 2024,16.31,16.31,16.31,16.31,16.03
19 Jul 2024,16.17,16.17,16.17,16.17,15.89
18 Jul 2024,16.27,16.27,16.27,16.27,15.99
17 Jul 2024,16.41,16.41,16.41,16.41,16.12
16 Jul 2024,16.50,16.50,16.50,16.50,16.21
15 Jul 2024,16.42,16.42,16.42,16.42,16.13
12 Jul 2024,16.54,16.54,16.54,16.54,16.25
11 Jul 2024,16.37,16.37,16.37,16.37,16.09
10 Jul 2024,16.31,16.31,16.31,16.31,16.03
9 Jul 2024,16.10,16.10,16.10,16.10,15.82
8 Jul 2024,16.15,16.15,16.15,16.15,15.87
5 Jul 2024,16.23,16.23,16.23,16.23,15.95
