Date,Open,High,Low,Close,Adj Close
29 Nov 2024,75.00,75.00,75.00,75.00,71.86
27 Nov 2024,74.44,74.44,74.44,74.44,71.32
26 Nov 2024,74.94,74.94,74.94,74.94,71.80
25 Nov 2024,74.43,74.43,74.43,74.43,71.31
22 Nov 2024,74.22,74.22,74.22,74.22,71.11
21 Nov 2024,73.93,73.93,73.93,73.93,70.83
20 Nov 2024,73.59,73.59,73.59,73.59,70.51
19 Nov 2024,73.58,73.58,73.58,73.58,70.50
18 Nov 2024,72.61,72.61,72.61,72.61,69.57
15 Nov 2024,72.24,72.24,72.24,72.24,69.21
14 Nov 2024,73.96,73.96,73.96,73.96,70.86
13 Nov 2024,74.73,74.73,74.73,74.73,71.60
12 Nov 2024,74.72,74.72,74.72,74.72,71.59
11 Nov 2024,74.54,74.54,74.54,74.54,71.42
8 Nov 2024,74.25,74.25,74.25,74.25,71.14
7 Nov 2024,74.11,74.11,74.11,74.11,71.00
6 Nov 2024,73.00,73.00,73.00,73.00,69.94
5 Nov 2024,71.06,71.06,71.06,71.06,68.08
4 Nov 2024,70.05,70.05,70.05,70.05,67.11
1 Nov 2024,70.29,70.29,70.29,70.29,67.34
31 Oct 2024,69.75,69.75,69.75,69.75,66.83
30 Oct 2024,71.82,71.82,71.82,71.82,68.81
29 Oct 2024,72.12,72.12,72.12,72.12,69.10
28 Oct 2024,71.46,71.46,71.46,71.46,68.46
25 Oct 2024,71.34,71.34,71.34,71.34,68.35
24 Oct 2024,71.05,71.05,71.05,71.05,68.07
23 Oct 2024,70.60,70.60,70.60,70.60,67.64
22 Oct 2024,71.70,71.70,71.70,71.70,68.69
21 Oct 2024,71.79,71.79,71.79,71.79,68.78
18 Oct 2024,71.63,71.63,71.63,71.63,68.63
17 Oct 2024,71.07,71.07,71.07,71.07,68.09
16 Oct 2024,71.07,71.07,71.07,71.07,68.09
15 Oct 2024,70.98,70.98,70.98,70.98,68.00
14 Oct 2024,71.75,71.75,71.75,71.75,68.74
11 Oct 2024,71.32,71.32,71.32,71.32,68.33
10 Oct 2024,70.94,70.94,70.94,70.94,67.97
9 Oct 2024,70.90,70.90,70.90,70.90,67.93
8 Oct 2024,70.38,70.38,70.38,70.38,67.43
7 Oct 2024,69.25,69.25,69.25,69.25,66.35
4 Oct 2024,70.11,70.11,70.11,70.11,67.17
3 Oct 2024,69.14,69.14,69.14,69.14,66.24
2 Oct 2024,69.19,69.19,69.19,69.19,66.29
1 Oct 2024,69.17,69.17,69.17,69.17,66.27
30 Sept 2024,70.14,70.14,70.14,70.14,67.20
27 Sept 2024,69.88,69.88,69.88,69.88,66.95
26 Sept 2024,70.31,70.31,70.31,70.31,67.36
25 Sept 2024,70.35,70.35,70.35,70.35,67.40
24 Sept 2024,70.26,70.26,70.26,70.26,67.32
23 Sept 2024,69.83,69.83,69.83,69.83,66.90
20 Sept 2024,69.66,69.66,69.66,69.66,66.74
19 Sept 2024,69.88,69.88,69.88,69.88,66.95
18 Sept 2024,68.17,68.17,68.17,68.17,65.31
17 Sept 2024,68.32,68.32,68.32,68.32,65.46
16 Sept 2024,68.29,68.29,68.29,68.29,65.43
13 Sept 2024,68.51,68.51,68.51,68.51,65.64
12 Sept 2024,68.09,68.09,68.09,68.09,65.24
11 Sept 2024,67.35,67.35,67.35,67.35,64.53
10 Sept 2024,65.84,65.84,65.84,65.84,63.08
9 Sept 2024,65.23,65.23,65.23,65.23,62.50
6 Sept 2024,64.35,64.35,64.35,64.35,61.65
5 Sept 2024,66.03,66.03,66.03,66.03,63.26
4 Sept 2024,65.86,65.86,65.86,65.86,63.10
3 Sept 2024,65.99,65.99,65.99,65.99,63.22
30 Aug 2024,68.21,68.21,68.21,68.21,65.35
29 Aug 2024,67.29,67.29,67.29,67.29,64.47
28 Aug 2024,67.30,67.30,67.30,67.30,64.48
27 Aug 2024,68.07,68.07,68.07,68.07,65.22
26 Aug 2024,67.91,67.91,67.91,67.91,65.06
23 Aug 2024,68.52,68.52,68.52,68.52,65.65
22 Aug 2024,67.59,67.59,67.59,67.59,64.76
21 Aug 2024,68.72,68.72,68.72,68.72,65.84
20 Aug 2024,68.23,68.23,68.23,68.23,65.37
19 Aug 2024,68.40,68.40,68.40,68.40,65.53
16 Aug 2024,67.50,67.50,67.50,67.50,64.67
15 Aug 2024,67.43,67.43,67.43,67.43,64.60
14 Aug 2024,65.85,65.85,65.85,65.85,63.09
13 Aug 2024,65.65,65.65,65.65,65.65,62.90
12 Aug 2024,64.09,64.09,64.09,64.09,61.40
9 Aug 2024,64.04,64.04,64.04,64.04,61.36
8 Aug 2024,63.34,63.34,63.34,63.34,60.69
7 Aug 2024,61.33,61.33,61.33,61.33,58.76
6 Aug 2024,61.90,61.90,61.90,61.90,59.31
5 Aug 2024,61.00,61.00,61.00,61.00,58.44
2 Aug 2024,63.08,63.08,63.08,63.08,60.44
1 Aug 2024,64.70,64.70,64.70,64.70,61.99
31 Jul 2024,66.15,66.15,66.15,66.15,63.38
30 Jul 2024,64.43,64.43,64.43,64.43,61.73
