Date,Open,High,Low,Close,Adj Close
30 Jan 2025,9.89,9.89,9.89,9.89,9.85
29 Jan 2025,9.88,9.88,9.88,9.88,9.84
28 Jan 2025,9.89,9.89,9.89,9.89,9.85
27 Jan 2025,9.89,9.89,9.89,9.89,9.85
24 Jan 2025,9.87,9.87,9.87,9.87,9.83
23 Jan 2025,9.86,9.86,9.86,9.86,9.82
22 Jan 2025,9.86,9.86,9.86,9.86,9.82
21 Jan 2025,9.87,9.87,9.87,9.87,9.83
17 Jan 2025,9.86,9.86,9.86,9.86,9.82
16 Jan 2025,9.86,9.86,9.86,9.86,9.82
15 Jan 2025,9.85,9.85,9.85,9.85,9.81
14 Jan 2025,9.82,9.82,9.82,9.82,9.78
13 Jan 2025,9.82,9.82,9.82,9.82,9.78
10 Jan 2025,9.82,9.82,9.82,9.82,9.78
8 Jan 2025,9.85,9.85,9.85,9.85,9.81
7 Jan 2025,9.84,9.84,9.84,9.84,9.80
6 Jan 2025,9.85,9.85,9.85,9.85,9.81
3 Jan 2025,9.85,9.85,9.85,9.85,9.81
2 Jan 2025,9.86,9.86,9.86,9.86,9.82
31 Dec 2024,9.86,9.86,9.86,9.86,9.82
30 Dec 2024,9.86,9.86,9.86,9.86,9.80
27 Dec 2024,9.84,9.84,9.84,9.84,9.78
26 Dec 2024,9.84,9.84,9.84,9.84,9.78
24 Dec 2024,9.84,9.84,9.84,9.84,9.78
23 Dec 2024,9.83,9.83,9.83,9.83,9.77
20 Dec 2024,9.84,9.84,9.84,9.84,9.78
19 Dec 2024,9.84,9.84,9.84,9.84,9.78
18 Dec 2024,9.84,9.84,9.84,9.84,9.78
17 Dec 2024,9.95,9.95,9.95,9.95,9.81
16 Dec 2024,9.95,9.95,9.95,9.95,9.81
13 Dec 2024,9.95,9.95,9.95,9.95,9.81
12 Dec 2024,9.96,9.96,9.96,9.96,9.82
11 Dec 2024,9.97,9.97,9.97,9.97,9.83
10 Dec 2024,9.97,9.97,9.97,9.97,9.83
9 Dec 2024,9.98,9.98,9.98,9.98,9.84
6 Dec 2024,9.99,9.99,9.99,9.99,9.85
5 Dec 2024,9.97,9.97,9.97,9.97,9.83
4 Dec 2024,9.98,9.98,9.98,9.98,9.84
3 Dec 2024,9.96,9.96,9.96,9.96,9.82
2 Dec 2024,9.96,9.96,9.96,9.96,9.82
29 Nov 2024,9.97,9.97,9.97,9.97,9.83
27 Nov 2024,9.95,9.95,9.95,9.95,9.79
26 Nov 2024,9.94,9.94,9.94,9.94,9.78
25 Nov 2024,9.94,9.94,9.94,9.94,9.78
22 Nov 2024,9.91,9.91,9.91,9.91,9.75
21 Nov 2024,9.91,9.91,9.91,9.91,9.75
20 Nov 2024,9.92,9.92,9.92,9.92,9.76
19 Nov 2024,9.93,9.93,9.93,9.93,9.77
18 Nov 2024,9.92,9.92,9.92,9.92,9.76
15 Nov 2024,9.92,9.92,9.92,9.92,9.76
14 Nov 2024,9.91,9.91,9.91,9.91,9.75
13 Nov 2024,9.92,9.92,9.92,9.92,9.76
12 Nov 2024,9.91,9.91,9.91,9.91,9.75
11 Nov 2024,9.93,9.93,9.93,9.93,9.77
8 Nov 2024,9.94,9.94,9.94,9.94,9.78
7 Nov 2024,9.94,9.94,9.94,9.94,9.78
6 Nov 2024,9.92,9.92,9.92,9.92,9.76
5 Nov 2024,9.94,9.94,9.94,9.94,9.78
4 Nov 2024,9.94,9.94,9.94,9.94,9.78
1 Nov 2024,9.93,9.93,9.93,9.93,9.77
31 Oct 2024,9.94,9.94,9.94,9.94,9.78
30 Oct 2024,9.94,9.94,9.94,9.94,9.77
29 Oct 2024,9.95,9.95,9.95,9.95,9.77
28 Oct 2024,9.95,9.95,9.95,9.95,9.77
25 Oct 2024,9.96,9.96,9.96,9.96,9.78
24 Oct 2024,9.96,9.96,9.96,9.96,9.78
23 Oct 2024,9.96,9.96,9.96,9.96,9.78
22 Oct 2024,9.97,9.97,9.97,9.97,9.79
21 Oct 2024,9.98,9.98,9.98,9.98,9.80
18 Oct 2024,10.00,10.00,10.00,10.00,9.82
17 Oct 2024,9.99,9.99,9.99,9.99,9.81
16 Oct 2024,10.00,10.00,10.00,10.00,9.82
15 Oct 2024,10.00,10.00,10.00,10.00,9.82
14 Oct 2024,9.99,9.99,9.99,9.99,9.81
11 Oct 2024,10.00,10.00,10.00,10.00,9.82
10 Oct 2024,9.99,9.99,9.99,9.99,9.81
9 Oct 2024,9.98,9.98,9.98,9.98,9.80
8 Oct 2024,9.99,9.99,9.99,9.99,9.81
7 Oct 2024,9.99,9.99,9.99,9.99,9.81
4 Oct 2024,10.00,10.00,10.00,10.00,9.82
3 Oct 2024,10.05,10.05,10.05,10.05,9.87
2 Oct 2024,10.07,10.07,10.07,10.07,9.89
1 Oct 2024,10.08,10.08,10.08,10.08,9.90
30 Sept 2024,10.07,10.07,10.07,10.07,9.89
27 Sept 2024,10.08,10.08,10.08,10.08,9.88
26 Sept 2024,10.07,10.07,10.07,10.07,9.88
25 Sept 2024,10.08,10.08,10.08,10.08,9.88
24 Sept 2024,10.09,10.09,10.09,10.09,9.89
23 Sept 2024,10.08,10.08,10.08,10.08,9.88
20 Sept 2024,10.08,10.08,10.08,10.08,9.88
19 Sept 2024,10.08,10.08,10.08,10.08,9.88
18 Sept 2024,10.07,10.07,10.07,10.07,9.88
17 Sept 2024,10.08,10.08,10.08,10.08,9.88
16 Sept 2024,10.09,10.09,10.09,10.09,9.89
13 Sept 2024,10.08,10.08,10.08,10.08,9.88
12 Sept 2024,10.07,10.07,10.07,10.07,9.88
11 Sept 2024,10.07,10.07,10.07,10.07,9.88
10 Sept 2024,10.08,10.08,10.08,10.08,9.88
9 Sept 2024,10.06,10.06,10.06,10.06,9.87
6 Sept 2024,10.06,10.06,10.06,10.06,9.87
5 Sept 2024,10.04,10.04,10.04,10.04,9.85
4 Sept 2024,10.03,10.03,10.03,10.03,9.84
3 Sept 2024,10.01,10.01,10.01,10.01,9.82
