Date,Open,High,Low,Close,Adj Close
29 Nov 2024,9.61,9.61,9.61,9.61,9.49
27 Nov 2024,9.58,9.58,9.58,9.58,9.43
26 Nov 2024,9.55,9.55,9.55,9.55,9.40
25 Nov 2024,9.57,9.57,9.57,9.57,9.42
22 Nov 2024,9.49,9.49,9.49,9.49,9.34
21 Nov 2024,9.49,9.49,9.49,9.49,9.34
20 Nov 2024,9.49,9.49,9.49,9.49,9.34
19 Nov 2024,9.50,9.50,9.50,9.50,9.35
18 Nov 2024,9.48,9.48,9.48,9.48,9.33
15 Nov 2024,9.47,9.47,9.47,9.47,9.32
14 Nov 2024,9.48,9.48,9.48,9.48,9.33
13 Nov 2024,9.48,9.48,9.48,9.48,9.33
12 Nov 2024,9.49,9.49,9.49,9.49,9.34
11 Nov 2024,9.54,9.54,9.54,9.54,9.39
8 Nov 2024,9.56,9.56,9.56,9.56,9.41
7 Nov 2024,9.54,9.54,9.54,9.54,9.39
6 Nov 2024,9.48,9.48,9.48,9.48,9.33
5 Nov 2024,9.54,9.54,9.54,9.54,9.39
4 Nov 2024,9.53,9.53,9.53,9.53,9.38
1 Nov 2024,9.49,9.49,9.49,9.49,9.34
31 Oct 2024,9.53,9.53,9.53,9.53,9.38
30 Oct 2024,9.54,9.54,9.54,9.54,9.36
29 Oct 2024,9.54,9.54,9.54,9.54,9.36
28 Oct 2024,9.54,9.54,9.54,9.54,9.36
25 Oct 2024,9.55,9.55,9.55,9.55,9.37
24 Oct 2024,9.57,9.57,9.57,9.57,9.39
23 Oct 2024,9.55,9.55,9.55,9.55,9.37
22 Oct 2024,9.57,9.57,9.57,9.57,9.39
21 Oct 2024,9.58,9.58,9.58,9.58,9.40
18 Oct 2024,9.64,9.64,9.64,9.64,9.46
17 Oct 2024,9.64,9.64,9.64,9.64,9.46
16 Oct 2024,9.68,9.68,9.68,9.68,9.50
15 Oct 2024,9.67,9.67,9.67,9.67,9.49
14 Oct 2024,9.62,9.62,9.62,9.62,9.44
11 Oct 2024,9.64,9.64,9.64,9.64,9.46
10 Oct 2024,9.64,9.64,9.64,9.64,9.46
9 Oct 2024,9.64,9.64,9.64,9.64,9.46
8 Oct 2024,9.67,9.67,9.67,9.67,9.49
7 Oct 2024,9.66,9.66,9.66,9.66,9.48
4 Oct 2024,9.69,9.69,9.69,9.69,9.51
3 Oct 2024,9.75,9.75,9.75,9.75,9.56
2 Oct 2024,9.79,9.79,9.79,9.79,9.60
1 Oct 2024,9.81,9.81,9.81,9.81,9.62
30 Sept 2024,9.78,9.78,9.78,9.78,9.59
27 Sept 2024,9.80,9.80,9.80,9.80,9.58
26 Sept 2024,9.78,9.78,9.78,9.78,9.56
25 Sept 2024,9.78,9.78,9.78,9.78,9.56
24 Sept 2024,9.81,9.81,9.81,9.81,9.59
23 Sept 2024,9.80,9.80,9.80,9.80,9.58
20 Sept 2024,9.81,9.81,9.81,9.81,9.59
19 Sept 2024,9.82,9.82,9.82,9.82,9.60
18 Sept 2024,9.82,9.82,9.82,9.82,9.60
17 Sept 2024,9.85,9.85,9.85,9.85,9.63
16 Sept 2024,9.86,9.86,9.86,9.86,9.64
13 Sept 2024,9.83,9.83,9.83,9.83,9.61
12 Sept 2024,9.82,9.82,9.82,9.82,9.60
11 Sept 2024,9.83,9.83,9.83,9.83,9.61
10 Sept 2024,9.83,9.83,9.83,9.83,9.61
9 Sept 2024,9.81,9.81,9.81,9.81,9.59
6 Sept 2024,9.80,9.80,9.80,9.80,9.58
5 Sept 2024,9.79,9.79,9.79,9.79,9.57
4 Sept 2024,9.77,9.77,9.77,9.77,9.55
3 Sept 2024,9.73,9.73,9.73,9.73,9.51
30 Aug 2024,9.69,9.69,9.69,9.69,9.47
29 Aug 2024,9.71,9.71,9.71,9.71,9.46
28 Aug 2024,9.73,9.73,9.73,9.73,9.48
27 Aug 2024,9.73,9.73,9.73,9.73,9.48
26 Aug 2024,9.73,9.73,9.73,9.73,9.48
23 Aug 2024,9.74,9.74,9.74,9.74,9.49
