Date,Open,High,Low,Close,Adj Close
29 Nov 2024,245.25,245.81,244.73,245.59,245.59
27 Nov 2024,244.85,245.18,243.20,243.49,243.49
26 Nov 2024,242.71,243.09,241.58,242.95,242.95
25 Nov 2024,244.27,244.40,241.48,242.48,242.48
22 Nov 2024,248.20,250.39,247.86,249.84,249.84
21 Nov 2024,246.23,246.81,245.69,246.66,246.66
20 Nov 2024,243.74,245.21,243.51,244.62,244.62
19 Nov 2024,242.75,243.31,242.03,243.25,243.25
18 Nov 2024,240.46,241.50,240.45,241.09,241.09
15 Nov 2024,237.57,237.88,236.33,236.59,236.59
14 Nov 2024,236.57,237.99,236.13,237.01,237.01
13 Nov 2024,241.31,241.47,237.59,237.63,237.63
12 Nov 2024,241.29,241.66,239.39,240.05,240.05
11 Nov 2024,242.73,242.73,241.06,242.14,242.14
8 Nov 2024,249.07,249.35,247.78,247.96,247.96
7 Nov 2024,248.29,250.24,248.12,249.65,249.65
6 Nov 2024,245.64,247.35,244.95,245.70,245.70
5 Nov 2024,253.78,253.99,252.41,253.40,253.40
4 Nov 2024,253.32,253.58,252.27,252.83,252.83
1 Nov 2024,254.33,254.86,252.44,252.47,252.47
31 Oct 2024,255.52,255.60,252.20,253.51,253.51
30 Oct 2024,256.76,257.71,255.91,257.50,257.50
29 Oct 2024,254.49,256.29,254.23,256.09,256.09
28 Oct 2024,253.01,253.63,252.95,253.33,253.33
25 Oct 2024,252.00,253.55,251.77,253.32,253.32
24 Oct 2024,253.27,253.32,251.40,252.80,252.80
23 Oct 2024,253.08,253.18,250.20,250.87,250.87
22 Oct 2024,253.06,253.94,252.52,253.93,253.93
21 Oct 2024,252.74,253.14,250.73,251.22,251.22
18 Oct 2024,250.00,251.37,249.90,251.27,251.27
17 Oct 2024,247.75,249.06,247.62,248.63,248.63
16 Oct 2024,247.62,248.09,246.36,247.15,247.15
15 Oct 2024,244.99,246.55,244.53,245.92,245.92
14 Oct 2024,245.16,245.86,244.26,245.07,245.07
11 Oct 2024,244.50,245.92,244.47,245.47,245.47
10 Oct 2024,241.77,243.02,241.51,242.82,242.82
9 Oct 2024,241.16,241.84,240.64,241.05,241.05
8 Oct 2024,243.79,244.04,240.63,242.37,242.37
7 Oct 2024,244.58,244.82,243.81,244.17,244.17
4 Oct 2024,245.00,246.69,244.05,245.00,245.00
3 Oct 2024,244.72,245.91,243.69,245.49,245.49
