Date,Open,High,Low,Close,Adj Close
29 Nov 2024,74.82,75.04,74.74,74.85,74.53
27 Nov 2024,74.70,75.14,74.70,74.77,74.45
26 Nov 2024,74.27,74.61,74.08,74.56,74.24
25 Nov 2024,74.20,74.44,73.87,74.11,73.79
22 Nov 2024,73.84,74.15,73.84,73.96,73.64
21 Nov 2024,73.06,73.72,72.78,73.67,73.35
20 Nov 2024,72.79,72.98,72.43,72.90,72.59
19 Nov 2024,72.61,72.90,72.29,72.77,72.46
18 Nov 2024,72.54,73.02,72.49,72.87,72.56
15 Nov 2024,72.61,72.90,72.49,72.70,72.29
14 Nov 2024,73.34,73.35,72.69,72.76,72.35
13 Nov 2024,73.28,73.51,73.19,73.37,72.95
12 Nov 2024,73.52,73.60,73.14,73.25,72.83
11 Nov 2024,73.32,73.89,73.32,73.47,73.05
8 Nov 2024,72.69,73.41,72.63,73.15,72.73
7 Nov 2024,72.78,72.81,72.49,72.54,72.13
6 Nov 2024,72.96,73.12,72.15,72.63,72.22
5 Nov 2024,70.80,71.43,70.62,71.43,71.02
4 Nov 2024,70.96,71.10,70.49,70.79,70.39
1 Nov 2024,71.26,71.47,70.83,70.85,70.45
31 Oct 2024,71.31,71.67,70.98,70.98,70.58
30 Oct 2024,71.32,71.61,71.30,71.43,71.02
29 Oct 2024,71.46,71.69,71.29,71.30,70.90
28 Oct 2024,71.71,71.88,71.60,71.67,71.26
25 Oct 2024,72.28,72.32,71.35,71.38,70.97
24 Oct 2024,72.32,72.44,72.12,72.18,71.77
23 Oct 2024,72.15,72.49,72.15,72.36,71.95
22 Oct 2024,72.26,72.52,71.99,72.45,72.04
21 Oct 2024,72.91,73.03,72.34,72.51,72.10
18 Oct 2024,72.92,73.20,72.73,73.13,72.61
17 Oct 2024,73.10,73.21,72.79,72.97,72.45
16 Oct 2024,72.57,73.12,72.49,73.03,72.51
15 Oct 2024,72.60,73.32,72.58,72.65,72.14
14 Oct 2024,71.97,72.52,71.82,72.45,71.94
11 Oct 2024,71.47,71.89,71.47,71.88,71.37
10 Oct 2024,71.58,71.64,71.08,71.25,70.75
9 Oct 2024,71.12,71.66,70.99,71.50,71.00
8 Oct 2024,70.92,71.17,70.72,71.10,70.60
7 Oct 2024,71.34,71.34,70.58,70.69,70.19
4 Oct 2024,71.32,71.58,71.08,71.53,71.02
3 Oct 2024,71.49,71.61,71.07,71.21,70.71
2 Oct 2024,71.58,71.75,71.27,71.66,71.15
1 Oct 2024,71.73,71.90,71.39,71.78,71.27
30 Sept 2024,71.59,71.79,71.21,71.73,71.22
27 Sept 2024,71.45,71.89,71.39,71.53,71.02
26 Sept 2024,71.07,71.56,71.07,71.28,70.78
25 Sept 2024,71.48,71.56,71.03,71.09,70.59
24 Sept 2024,71.35,71.57,71.13,71.26,70.76
23 Sept 2024,71.22,71.57,71.12,71.51,71.01
20 Sept 2024,71.05,71.23,70.83,71.17,70.56
19 Sept 2024,71.45,71.48,70.95,71.17,70.56
18 Sept 2024,71.47,71.73,70.90,70.97,70.36
17 Sept 2024,71.69,71.92,71.37,71.48,70.87
16 Sept 2024,71.56,71.93,71.49,71.76,71.15
13 Sept 2024,70.92,71.33,70.82,71.23,70.62
12 Sept 2024,70.50,70.83,70.15,70.82,70.21
11 Sept 2024,70.74,70.74,69.43,70.45,69.85
