Date,Open,High,Low,Close,Adj Close
29 Nov 2024,47.58,47.58,47.58,47.58,44.25
27 Nov 2024,47.47,47.47,47.47,47.47,44.14
26 Nov 2024,47.43,47.43,47.43,47.43,44.11
25 Nov 2024,47.42,47.42,47.42,47.42,44.10
22 Nov 2024,47.18,47.18,47.18,47.18,43.88
21 Nov 2024,46.85,46.85,46.85,46.85,43.57
20 Nov 2024,46.30,46.30,46.30,46.30,43.06
19 Nov 2024,46.27,46.27,46.27,46.27,43.03
18 Nov 2024,46.46,46.46,46.46,46.46,43.21
15 Nov 2024,46.22,46.22,46.22,46.22,42.98
14 Nov 2024,46.40,46.40,46.40,46.40,43.15
13 Nov 2024,46.62,46.62,46.62,46.62,43.35
12 Nov 2024,46.61,46.61,46.61,46.61,43.34
11 Nov 2024,47.01,47.01,47.01,47.01,43.72
8 Nov 2024,46.83,46.83,46.83,46.83,43.55
7 Nov 2024,46.71,46.71,46.71,46.71,43.44
6 Nov 2024,46.81,46.81,46.81,46.81,43.53
5 Nov 2024,45.50,45.50,45.50,45.50,42.31
4 Nov 2024,45.21,45.21,45.21,45.21,42.04
1 Nov 2024,45.22,45.22,45.22,45.22,42.05
31 Oct 2024,45.34,45.34,45.34,45.34,42.16
30 Oct 2024,45.70,45.70,45.70,45.70,42.50
29 Oct 2024,45.76,45.76,45.76,45.76,42.55
28 Oct 2024,45.99,45.99,45.99,45.99,42.77
25 Oct 2024,45.72,45.72,45.72,45.72,42.52
24 Oct 2024,46.00,46.00,46.00,46.00,42.78
23 Oct 2024,45.95,45.95,45.95,45.95,42.73
22 Oct 2024,46.10,46.10,46.10,46.10,42.87
21 Oct 2024,46.10,46.10,46.10,46.10,42.87
18 Oct 2024,46.48,46.48,46.48,46.48,43.22
17 Oct 2024,46.48,46.48,46.48,46.48,43.22
16 Oct 2024,46.45,46.45,46.45,46.45,43.20
15 Oct 2024,46.10,46.10,46.10,46.10,42.87
14 Oct 2024,46.35,46.35,46.35,46.35,43.10
11 Oct 2024,46.15,46.15,46.15,46.15,42.92
10 Oct 2024,45.68,45.68,45.68,45.68,42.48
9 Oct 2024,45.80,45.80,45.80,45.80,42.59
8 Oct 2024,45.43,45.43,45.43,45.43,42.25
7 Oct 2024,45.49,45.49,45.49,45.49,42.30
4 Oct 2024,45.75,45.75,45.75,45.75,42.55
3 Oct 2024,45.38,45.38,45.38,45.38,42.20
2 Oct 2024,45.54,45.54,45.54,45.54,42.35
1 Oct 2024,45.53,45.53,45.53,45.53,42.34
30 Sept 2024,45.69,45.69,45.69,45.69,42.49
27 Sept 2024,45.59,45.59,45.59,45.59,42.40
26 Sept 2024,45.41,45.41,45.41,45.41,42.23
25 Sept 2024,45.15,45.15,45.15,45.15,41.99
24 Sept 2024,45.43,45.43,45.43,45.43,42.25
23 Sept 2024,45.37,45.37,45.37,45.37,42.19
20 Sept 2024,45.23,45.23,45.23,45.23,42.06
19 Sept 2024,45.58,45.58,45.58,45.58,42.12
18 Sept 2024,45.09,45.09,45.09,45.09,41.67
17 Sept 2024,45.20,45.20,45.20,45.20,41.77
16 Sept 2024,45.12,45.12,45.12,45.12,41.70
13 Sept 2024,44.76,44.76,44.76,44.76,41.36
12 Sept 2024,44.39,44.39,44.39,44.39,41.02
11 Sept 2024,44.15,44.15,44.15,44.15,40.80
10 Sept 2024,44.12,44.12,44.12,44.12,40.77
9 Sept 2024,44.18,44.18,44.18,44.18,40.83
6 Sept 2024,43.78,43.78,43.78,43.78,40.46
5 Sept 2024,44.42,44.42,44.42,44.42,41.05
4 Sept 2024,44.72,44.72,44.72,44.72,41.33
3 Sept 2024,44.76,44.76,44.76,44.76,41.36
30 Aug 2024,45.33,45.33,45.33,45.33,41.89
29 Aug 2024,44.95,44.95,44.95,44.95,41.54
28 Aug 2024,44.78,44.78,44.78,44.78,41.38
27 Aug 2024,44.81,44.81,44.81,44.81,41.41
26 Aug 2024,44.84,44.84,44.84,44.84,41.44
23 Aug 2024,44.79,44.79,44.79,44.79,41.39
22 Aug 2024,44.26,44.26,44.26,44.26,40.90
21 Aug 2024,44.30,44.30,44.30,44.30,40.94
