Date,Open,High,Low,Close,Adj Close
29 Nov 2024,20.16,20.16,20.16,20.16,19.67
27 Nov 2024,20.10,20.10,20.10,20.10,19.58
26 Nov 2024,20.09,20.09,20.09,20.09,19.57
25 Nov 2024,20.07,20.07,20.07,20.07,19.55
22 Nov 2024,20.02,20.02,20.02,20.02,19.50
21 Nov 2024,19.95,19.95,19.95,19.95,19.43
20 Nov 2024,19.95,19.95,19.95,19.95,19.43
19 Nov 2024,19.97,19.97,19.97,19.97,19.45
18 Nov 2024,19.97,19.97,19.97,19.97,19.45
15 Nov 2024,19.97,19.97,19.97,19.97,19.45
14 Nov 2024,19.96,19.96,19.96,19.96,19.44
13 Nov 2024,19.90,19.90,19.90,19.90,19.38
12 Nov 2024,19.92,19.92,19.92,19.92,19.40
11 Nov 2024,19.99,19.99,19.99,19.99,19.47
8 Nov 2024,19.95,19.95,19.95,19.95,19.43
7 Nov 2024,19.87,19.87,19.87,19.87,19.35
6 Nov 2024,19.87,19.87,19.87,19.87,19.35
5 Nov 2024,19.90,19.90,19.90,19.90,19.38
4 Nov 2024,19.89,19.89,19.89,19.89,19.37
1 Nov 2024,19.86,19.86,19.86,19.86,19.34
31 Oct 2024,19.91,19.91,19.91,19.91,19.39
30 Oct 2024,19.92,19.92,19.92,19.92,19.36
29 Oct 2024,19.99,19.99,19.99,19.99,19.43
28 Oct 2024,20.00,20.00,20.00,20.00,19.44
25 Oct 2024,20.00,20.00,20.00,20.00,19.44
24 Oct 2024,20.01,20.01,20.01,20.01,19.45
23 Oct 2024,19.97,19.97,19.97,19.97,19.41
22 Oct 2024,19.98,19.98,19.98,19.98,19.42
21 Oct 2024,19.99,19.99,19.99,19.99,19.43
18 Oct 2024,20.09,20.09,20.09,20.09,19.53
17 Oct 2024,20.06,20.06,20.06,20.06,19.50
16 Oct 2024,20.07,20.07,20.07,20.07,19.51
15 Oct 2024,20.03,20.03,20.03,20.03,19.47
14 Oct 2024,19.97,19.97,19.97,19.97,19.41
11 Oct 2024,19.96,19.96,19.96,19.96,19.40
10 Oct 2024,19.95,19.95,19.95,19.95,19.39
9 Oct 2024,19.94,19.94,19.94,19.94,19.38
8 Oct 2024,19.96,19.96,19.96,19.96,19.40
7 Oct 2024,19.96,19.96,19.96,19.96,19.40
