Date,Open,High,Low,Close,Adj Close
30 Jan 2025,33.39,33.39,33.39,33.39,33.39
29 Jan 2025,33.19,33.19,33.19,33.19,33.19
28 Jan 2025,33.17,33.17,33.17,33.17,33.17
27 Jan 2025,33.30,33.30,33.30,33.30,33.30
24 Jan 2025,32.99,32.99,32.99,32.99,32.99
23 Jan 2025,32.81,32.81,32.81,32.81,32.81
22 Jan 2025,32.75,32.75,32.75,32.75,32.75
21 Jan 2025,33.11,33.11,33.11,33.11,33.11
17 Jan 2025,32.74,32.74,32.74,32.74,32.74
16 Jan 2025,32.41,32.41,32.41,32.41,32.41
15 Jan 2025,32.76,32.76,32.76,32.76,32.76
14 Jan 2025,31.75,31.75,31.75,31.75,31.75
13 Jan 2025,30.94,30.94,30.94,30.94,30.94
10 Jan 2025,30.51,30.51,30.51,30.51,30.51
8 Jan 2025,31.33,31.33,31.33,31.33,31.33
7 Jan 2025,31.35,31.35,31.35,31.35,31.35
6 Jan 2025,31.49,31.49,31.49,31.49,31.49
3 Jan 2025,31.37,31.37,31.37,31.37,31.37
2 Jan 2025,30.95,30.95,30.95,30.95,30.95
31 Dec 2024,31.18,31.18,31.18,31.18,31.18
30 Dec 2024,31.21,31.21,31.21,31.21,31.21
27 Dec 2024,31.37,31.37,31.37,31.37,31.37
26 Dec 2024,31.72,31.72,31.72,31.72,31.72
24 Dec 2024,32.84,32.84,32.84,32.84,31.60
23 Dec 2024,32.51,32.51,32.51,32.51,31.28
20 Dec 2024,32.41,32.41,32.41,32.41,31.19
19 Dec 2024,31.89,31.89,31.89,31.89,30.68
18 Dec 2024,32.01,32.01,32.01,32.01,30.80
17 Dec 2024,33.58,33.58,33.58,33.58,32.31
16 Dec 2024,34.23,34.23,34.23,34.23,32.94
13 Dec 2024,34.04,34.04,34.04,34.04,32.75
12 Dec 2024,34.20,34.20,34.20,34.20,32.91
11 Dec 2024,34.55,34.55,34.55,34.55,33.24
10 Dec 2024,34.51,34.51,34.51,34.51,33.21
9 Dec 2024,34.49,34.49,34.49,34.49,33.19
6 Dec 2024,34.98,34.98,34.98,34.98,33.66
5 Dec 2024,34.91,34.91,34.91,34.91,33.59
4 Dec 2024,34.90,34.90,34.90,34.90,33.58
3 Dec 2024,34.86,34.86,34.86,34.86,33.54
2 Dec 2024,35.13,35.13,35.13,35.13,33.80
29 Nov 2024,35.38,35.38,35.38,35.38,34.04
27 Nov 2024,35.50,35.50,35.50,35.50,34.16
26 Nov 2024,35.56,35.56,35.56,35.56,34.22
25 Nov 2024,35.74,35.74,35.74,35.74,34.39
22 Nov 2024,35.23,35.23,35.23,35.23,33.90
21 Nov 2024,34.60,34.60,34.60,34.60,33.29
20 Nov 2024,34.12,34.12,34.12,34.12,32.83
19 Nov 2024,34.14,34.14,34.14,34.14,32.85
18 Nov 2024,34.35,34.35,34.35,34.35,33.05
15 Nov 2024,34.34,34.34,34.34,34.34,33.04
14 Nov 2024,34.28,34.28,34.28,34.28,32.98
13 Nov 2024,34.48,34.48,34.48,34.48,33.18
12 Nov 2024,34.64,34.64,34.64,34.64,33.33
11 Nov 2024,34.82,34.82,34.82,34.82,33.50
8 Nov 2024,33.90,33.90,33.90,33.90,32.62
7 Nov 2024,33.71,33.71,33.71,33.71,32.44
6 Nov 2024,34.90,34.90,34.90,34.90,33.58
5 Nov 2024,31.15,31.15,31.15,31.15,29.97
4 Nov 2024,30.66,30.66,30.66,30.66,29.50
1 Nov 2024,30.91,30.91,30.91,30.91,29.74
31 Oct 2024,31.07,31.07,31.07,31.07,29.90
30 Oct 2024,31.47,31.47,31.47,31.47,30.28
29 Oct 2024,31.19,31.19,31.19,31.19,30.01
28 Oct 2024,31.36,31.36,31.36,31.36,30.17
25 Oct 2024,30.51,30.51,30.51,30.51,29.36
24 Oct 2024,31.02,31.02,31.02,31.02,29.85
23 Oct 2024,30.92,30.92,30.92,30.92,29.75
22 Oct 2024,30.98,30.98,30.98,30.98,29.81
21 Oct 2024,30.63,30.63,30.63,30.63,29.47
18 Oct 2024,31.40,31.40,31.40,31.40,30.21
17 Oct 2024,31.70,31.70,31.70,31.70,30.50
16 Oct 2024,31.47,31.47,31.47,31.47,30.28
15 Oct 2024,31.00,31.00,31.00,31.00,29.83
14 Oct 2024,30.81,30.81,30.81,30.81,29.65
11 Oct 2024,30.57,30.57,30.57,30.57,29.41
10 Oct 2024,29.55,29.55,29.55,29.55,28.43
9 Oct 2024,29.57,29.57,29.57,29.57,28.45
